trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,1,female,pez,24,2,Target_Stimuli/female/pez.mp3,1768801970734,0.000,595.875,595.875,0.000,6022.000,1768801970734,1768801976756,1500,4,4_trial1_female_pez.wav,595.875,773.792,177.917,ok,-40.000,false,
2,1,female,fresas,9,1,Target_Stimuli/female/fresas.mp3,1768801978281,0.000,1001.875,1001.875,0.000,6015.400,1768801978281,1768801984296.4,1500,4,4_trial2_female_fresas.wav,1001.875,2237.583,1235.708,ok,-40.000,false,
3,1,male,gato,21,2,Target_Stimuli/male/gato.mp3,1768801985813,0.000,856.000,856.000,0.000,6017.100,1768801985813,1768801991830.1,1500,4,4_trial3_male_gato.wav,856.000,1338.438,482.438,ok,-40.000,false,
4,1,female,reloj,3,1,Target_Stimuli/female/reloj.mp3,1768801993346,0.200,965.075,964.875,0.100,6020.600,1768801993346.1,1768801999366.6,1500,4,4_trial4_female_reloj.wav,964.975,5383.063,4418.088,ok,-40.000,false,
5,1,female,naranja,22,2,Target_Stimuli/female/naranja.mp3,1768802000893,0.100,1120.975,1120.875,0.100,6018.500,1768802000893.1,1768802006911.5,1500,4,4_trial5_female_naranja.wav,1120.875,2068.125,947.250,ok,-40.000,false,
6,1,male,grapadora,7,1,Target_Stimuli/male/grapadora.mp3,1768802008428,0.100,1216.100,1216.000,0.000,6022.200,1768802008428,1768802014450.2,1500,4,4_trial6_male_grapadora.wav,1216.100,,,no_speech_detected,-9.784,true,No onset above threshold after playback end
7,1,male,cebolla,14,2,Target_Stimuli/male/cebolla.mp3,1768802015962,0.200,881.200,881.000,0.100,6024.400,1768802015962.1,1768802021986.4,1500,4,4_trial7_male_cebolla.wav,881.100,2907.021,2025.921,ok,-40.000,false,
8,1,male,elote,12,1,Target_Stimuli/male/elote.mp3,1768802023512,0.100,923.100,923.000,0.100,6018.800,1768802023512.1,1768802029530.8,1500,4,4_trial8_male_elote.wav,923.000,1851.188,928.188,ok,-40.000,false,
9,1,male,lechuga,18,2,Target_Stimuli/male/lechuga.mp3,1768802031045,0.100,1063.100,1063.000,0.100,6023.200,1768802031045.1,1768802037068.2,1500,4,4_trial9_male_lechuga.wav,1063.000,2897.396,1834.396,ok,-40.000,false,
10,1,female,sandía,5,1,Target_Stimuli/female/sandia.mp3,1768802038593,0.000,1075.875,1075.875,0.000,6015.100,1768802038593,1768802044608.1,1500,4,4_trial10_female_sandia.wav,1075.875,2839.667,1763.792,ok,-40.000,false,
11,1,male,hongos,13,2,Target_Stimuli/male/hongos.mp3,1768802046121,0.200,958.200,958.000,0.100,6021.500,1768802046121.1,1768802052142.5,1500,4,4_trial11_male_hongos.wav,958.100,2485.313,1527.213,ok,-40.000,false,
12,1,female,tijeras,4,1,Target_Stimuli/female/tijeras.mp3,1768802053658,0.200,1008.075,1007.875,0.200,6014.200,1768802053658.2,1768802059672.2,1500,4,4_trial12_female_tijeras.wav,1007.875,,,no_speech_detected,-15.085,true,No onset above threshold after playback end
13,1,male,basurero,23,2,Target_Stimuli/male/basurero.mp3,1768802061190,0.300,1192.300,1192.000,0.000,6011.500,1768802061190,1768802067201.5,1500,4,4_trial13_male_basurero.wav,1192.300,1784.667,592.367,ok,-40.000,false,
14,1,male,pato,6,1,Target_Stimuli/male/pato.mp3,1768802068718,0.000,744.000,744.000,0.000,6021.700,1768802068718,1768802074739.7,1500,4,4_trial14_male_pato.wav,744.000,2789.646,2045.646,ok,-40.000,false,
15,1,male,loro,17,2,Target_Stimuli/male/loro.mp3,1768802076257,0.100,870.100,870.000,0.100,6018.600,1768802076257.1,1768802082275.6,1500,4,4_trial15_male_loro.wav,870.000,2195.646,1325.646,ok,-40.000,false,
16,1,male,caballo,11,1,Target_Stimuli/male/caballo.mp3,1768802083791,0.100,880.100,880.000,0.100,6016.700,1768802083791.1,1768802089807.7,1500,4,4_trial16_male_caballo.wav,880.000,1813.646,933.646,ok,-40.000,false,
17,1,female,cuaderno,15,2,Target_Stimuli/female/cuaderno.mp3,1768802091329,0.100,992.975,992.875,0.100,6022.200,1768802091329.1,1768802097351.2,1500,4,4_trial17_female_cuaderno.wav,992.875,,,no_speech_detected,-12.090,true,No onset above threshold after playback end
18,1,male,oso,2,1,Target_Stimuli/male/oso.mp3,1768802098873,0.000,806.000,806.000,0.000,6011.000,1768802098873,1768802104884,1500,4,4_trial18_male_oso.wav,806.000,1649.646,843.646,ok,-40.000,false,
19,1,female,lápiz,19,2,Target_Stimuli/female/lapiz.mp3,1768802106401,0.100,897.975,897.875,0.100,6009.900,1768802106401.1,1768802112410.9,1500,4,4_trial19_female_lapiz.wav,897.875,1383.979,486.104,ok,-40.000,false,
20,1,female,cinta,8,1,Target_Stimuli/female/cinta.mp3,1768802113921,0.100,809.975,809.875,0.100,6022.400,1768802113921.1,1768802119943.4,1500,4,4_trial20_female_cinta.wav,809.875,2682.583,1872.708,ok,-40.000,false,
21,1,female,ardilla,16,2,Target_Stimuli/female/ardilla.mp3,1768802121461,0.000,999.875,999.875,0.000,6020.300,1768802121461,1768802127481.3,1500,4,4_trial21_female_ardilla.wav,999.875,2106.458,1106.583,ok,-40.000,false,
