trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,1,male,fresas,9,1,Target_Stimuli/male/fresas.mp3,1771230811348,0.100,1002.100,1002.000,0.100,6017.700,1771230811348.1,1771230817365.7,1500,63,63_trial1_male_fresas.wav,1002.000,1629.479,627.479,ok,-40.000,false,
2,1,male,hongos,13,2,Target_Stimuli/male/hongos.mp3,1771230818892,0.200,958.200,958.000,0.100,6019.400,1771230818892.1,1771230824911.4,1500,63,63_trial2_male_hongos.wav,958.100,2049.229,1091.129,ok,-40.000,false,
3,1,male,oso,2,1,Target_Stimuli/male/oso.mp3,1771230826437,0.100,806.100,806.000,0.000,6015.100,1771230826437,1771230832452.1,1500,63,63_trial3_male_oso.wav,806.100,1425.271,619.171,ok,-40.000,false,
4,1,male,basurero,23,2,Target_Stimuli/male/basurero.mp3,1771230833964,0.100,1192.100,1192.000,0.000,6023.300,1771230833964,1771230839987.3,1500,63,63_trial4_male_basurero.wav,1192.100,1746.188,554.088,ok,-40.000,false,
5,1,male,manzana,1,1,Target_Stimuli/male/manzana.mp3,1771230841501,0.100,1164.100,1164.000,0.000,6013.100,1771230841501,1771230847514.1,1500,63,63_trial5_male_manzana.wav,1164.100,2685.208,1521.108,ok,-40.000,false,
6,1,male,gato,21,2,Target_Stimuli/male/gato.mp3,1771230849040,0.200,856.200,856.000,0.100,6013.500,1771230849040.1,1771230855053.5,1500,63,63_trial6_male_gato.wav,856.100,1592.229,736.129,ok,-40.000,false,
7,1,female,elote,12,1,Target_Stimuli/female/elote.mp3,1771230856575,0.100,922.975,922.875,0.100,6012.400,1771230856575.1,1771230862587.4,1500,63,63_trial7_female_elote.wav,922.875,1599.229,676.354,ok,-40.000,false,
8,1,female,conejo,20,2,Target_Stimuli/female/conejo.mp3,1771230864106,0.100,944.975,944.875,0.100,6014.500,1771230864106.1,1771230870120.5,1500,63,63_trial8_female_conejo.wav,944.875,1995.625,1050.750,ok,-40.000,false,
9,1,female,pato,6,1,Target_Stimuli/female/pato.mp3,1771230871636,0.100,743.975,743.875,0.100,6017.900,1771230871636.1,1771230877653.9,1500,63,63_trial9_female_pato.wav,743.875,1616.188,872.313,ok,-40.000,false,
10,1,male,pez,24,2,Target_Stimuli/male/pez.mp3,1771230879168,0.200,596.200,596.000,0.200,6026.200,1771230879168.2,1771230885194.2,1500,63,63_trial10_male_pez.wav,596.000,1746.229,1150.229,ok,-40.000,false,
