trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,1,male,conejo,20,2,Target_Stimuli/male/conejo.mp3,1769659000544,0.200,945.200,945.000,0.200,6027.900,1769659000544.2,1769659006571.9,1500,30,30_trial1_male_conejo.wav,945.000,2025.313,1080.313,ok,-40.000,false,
2,1,female,cinta,8,1,Target_Stimuli/female/cinta.mp3,1769659008116,0.200,810.075,809.875,0.100,6020.800,1769659008116.1,1769659014136.8,1500,30,30_trial2_female_cinta.wav,809.975,,,no_speech_detected,-9.971,true,No onset above threshold after playback end
3,1,male,cuaderno,15,2,Target_Stimuli/male/cuaderno.mp3,1769659015678,0.100,993.100,993.000,0.000,6020.500,1769659015678,1769659021698.5,1500,30,30_trial3_male_cuaderno.wav,993.100,2387.417,1394.317,ok,-40.000,false,
4,1,male,caballo,11,1,Target_Stimuli/male/caballo.mp3,1769659023239,0.200,880.200,880.000,0.000,6020.500,1769659023239,1769659029259.5,1500,30,30_trial4_male_caballo.wav,880.200,,,no_speech_detected,-11.669,true,No onset above threshold after playback end
5,1,male,ardilla,16,2,Target_Stimuli/male/ardilla.mp3,1769659030800,0.000,1000.000,1000.000,0.000,6025.100,1769659030800,1769659036825.1,1500,30,30_trial5_male_ardilla.wav,1000.000,2157.479,1157.479,ok,-40.000,false,
6,1,female,tiza,10,1,Target_Stimuli/female/tiza.mp3,1769659038362,0.100,796.975,796.875,0.000,6032.600,1769659038362,1769659044394.6,1500,30,30_trial6_female_tiza.wav,796.975,,,no_speech_detected,-13.446,true,No onset above threshold after playback end
7,1,male,lápiz,19,2,Target_Stimuli/male/lapiz.mp3,1769659045944,0.100,898.100,898.000,0.100,6027.300,1769659045944.1,1769659051971.3,1500,30,30_trial7_male_lapiz.wav,898.000,3012.000,2114.000,ok,-40.000,false,
8,1,male,tijeras,4,1,Target_Stimuli/male/tijeras.mp3,1769659053517,0.100,1008.100,1008.000,0.000,6021.400,1769659053517,1769659059538.4,1500,30,30_trial8_male_tijeras.wav,1008.100,,,no_speech_detected,-14.062,true,No onset above threshold after playback end
9,1,female,loro,17,2,Target_Stimuli/female/loro.mp3,1769659061079,0.100,869.975,869.875,0.000,6034.800,1769659061079,1769659067113.8,1500,30,30_trial9_female_loro.wav,869.975,3224.625,2354.650,ok,-40.000,false,
10,1,male,oso,2,1,Target_Stimuli/male/oso.mp3,1769659068645,0.100,806.100,806.000,0.100,6016.500,1769659068645.1,1769659074661.5,1500,30,30_trial10_male_oso.wav,806.000,1823.958,1017.958,ok,-40.000,false,
11,1,male,naranja,22,2,Target_Stimuli/male/naranja.mp3,1769659076200,0.100,1121.100,1121.000,0.100,6028.200,1769659076200.1,1769659082228.2,1500,30,30_trial11_male_naranja.wav,1121.000,2791.063,1670.063,ok,-40.000,false,
12,1,male,elote,12,1,Target_Stimuli/male/elote.mp3,1769659083764,0.000,923.000,923.000,0.000,6013.700,1769659083764,1769659089777.7,1500,30,30_trial12_male_elote.wav,923.000,2378.542,1455.542,ok,-40.000,false,
13,1,male,cebolla,14,2,Target_Stimuli/male/cebolla.mp3,1769659091316,0.200,881.200,881.000,0.100,6017.400,1769659091316.1,1769659097333.4,1500,30,30_trial13_male_cebolla.wav,881.100,4813.958,3932.858,ok,-40.000,false,
14,1,female,pato,6,1,Target_Stimuli/female/pato.mp3,1769659098870,0.200,744.075,743.875,0.100,6028.800,1769659098870.1,1769659104898.8,1500,30,30_trial14_female_pato.wav,743.975,3812.063,3068.088,ok,-40.000,false,
15,1,female,lechuga,18,2,Target_Stimuli/female/lechuga.mp3,1769659106445,0.200,1063.075,1062.875,0.100,6026.100,1769659106445.1,1769659112471.1,1500,30,30_trial15_female_lechuga.wav,1062.975,2652.917,1589.942,ok,-40.000,false,
16,1,female,manzana,1,1,Target_Stimuli/female/manzana.mp3,1769659114013,0.100,1163.975,1163.875,0.000,6020.500,1769659114013,1769659120033.5,1500,30,30_trial16_female_manzana.wav,1163.975,2986.771,1822.796,ok,-40.000,false,
17,1,female,basurero,23,2,Target_Stimuli/female/basurero.mp3,1769659121569,0.000,1191.875,1191.875,0.000,6018.800,1769659121569,1769659127587.8,1500,30,30_trial17_female_basurero.wav,1191.875,2557.250,1365.375,ok,-40.000,false,
18,1,female,grapadora,7,1,Target_Stimuli/female/grapadora.mp3,1769659129127,0.000,1215.875,1215.875,0.000,6014.500,1769659129127,1769659135141.5,1500,30,30_trial18_female_grapadora.wav,1215.875,2274.042,1058.167,ok,-40.000,false,
19,1,female,pez,24,2,Target_Stimuli/female/pez.mp3,1769659136679,0.100,595.975,595.875,0.000,6015.900,1769659136679,1769659142694.9,1500,30,30_trial19_female_pez.wav,595.975,3024.354,2428.379,ok,-40.000,false,
20,1,female,fresas,9,1,Target_Stimuli/female/fresas.mp3,1769659144230,0.000,1001.875,1001.875,0.000,6026.200,1769659144230,1769659150256.2,1500,30,30_trial20_female_fresas.wav,1001.875,4376.563,3374.688,ok,-40.000,false,
21,1,female,gato,21,2,Target_Stimuli/female/gato.mp3,1769659151796,0.100,855.975,855.875,0.100,6025.600,1769659151796.1,1769659157821.6,1500,30,30_trial21_female_gato.wav,855.875,2595.604,1739.729,ok,-40.000,false,
22,1,male,reloj,3,1,Target_Stimuli/male/reloj.mp3,1769659159371,0.000,965.000,965.000,0.000,6025.300,1769659159371,1769659165396.3,1500,30,30_trial22_male_reloj.wav,965.000,3608.271,2643.271,ok,-40.000,false,
23,1,female,hongos,13,2,Target_Stimuli/female/hongos.mp3,1769659166934,0.600,958.475,957.875,0.000,6027.100,1769659166934,1769659172961.1,1500,30,30_trial23_female_hongos.wav,958.475,2366.500,1408.025,ok,-40.000,false,
24,1,male,sandía,5,1,Target_Stimuli/male/sandia.mp3,1769659174505,0.200,1946.158,1945.958,0.000,6021.900,1769659174505,1769659180526.9,1500,30,30_trial24_male_sandia.wav,1946.158,2959.917,1013.758,ok,-40.000,false,
