trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,1,male,hongos,13,2,Target_Stimuli/male/hongos.mp3,1771228393700,0.000,958.000,958.000,0.000,6018.600,1771228393700,1771228399718.6,1500,62,62_trial1_male_hongos.wav,958.000,2479.500,1521.500,ok,-40.000,false,
2,1,male,tijeras,4,1,Target_Stimuli/male/tijeras.mp3,1771228401235,0.100,1008.100,1008.000,0.000,6022.300,1771228401235,1771228407257.3,1500,62,62_trial2_male_tijeras.wav,1008.100,,,no_speech_detected,-14.065,true,No onset above threshold after playback end
3,1,male,loro,17,2,Target_Stimuli/male/loro.mp3,1771228408777,0.100,870.100,870.000,0.100,6023.200,1771228408777.1,1771228414800.2,1500,62,62_trial3_male_loro.wav,870.000,2038.667,1168.667,ok,-40.000,false,
4,1,female,caballo,11,1,Target_Stimuli/female/caballo.mp3,1771228416320,0.100,879.975,879.875,0.100,6011.700,1771228416320.1,1771228422331.7,1500,62,62_trial4_female_caballo.wav,879.875,1880.479,1000.604,ok,-40.000,false,
5,1,female,pez,24,2,Target_Stimuli/female/pez.mp3,1771228423846,0.800,596.675,595.875,0.600,6030.900,1771228423846.6,1771228429876.9,1500,62,62_trial5_female_pez.wav,596.075,2308.271,1712.196,ok,-40.000,false,
6,1,female,sandía,5,1,Target_Stimuli/female/sandia.mp3,1771228431405,0.300,1076.175,1075.875,0.000,6023.700,1771228431405,1771228437428.7,1500,62,62_trial6_female_sandia.wav,1076.175,1885.542,809.367,ok,-40.000,false,
7,1,male,lechuga,18,2,Target_Stimuli/male/lechuga.mp3,1771228438949,0.100,1063.100,1063.000,0.100,6019.600,1771228438949.1,1771228444968.6,1500,62,62_trial7_male_lechuga.wav,1063.000,,,no_speech_detected,-12.270,true,No onset above threshold after playback end
8,1,male,tiza,10,1,Target_Stimuli/male/tiza.mp3,1771228446489,0.400,797.400,797.000,0.000,6012.800,1771228446489,1771228452501.8,1500,62,62_trial8_male_tiza.wav,797.400,1500.438,703.038,ok,-40.000,false,
9,1,female,cuaderno,15,2,Target_Stimuli/female/cuaderno.mp3,1771228454029,0.100,992.975,992.875,0.000,6025.900,1771228454029,1771228460054.9,1500,62,62_trial9_female_cuaderno.wav,992.975,1729.417,736.442,ok,-40.000,false,
10,1,male,pato,6,1,Target_Stimuli/male/pato.mp3,1771228461575,0.100,744.100,744.000,0.100,6014.200,1771228461575.1,1771228467589.2,1500,62,62_trial10_male_pato.wav,744.000,2993.146,2249.146,ok,-40.000,false,
11,1,female,gato,21,2,Target_Stimuli/female/gato.mp3,1771228469113,0.200,856.075,855.875,0.100,6012.000,1771228469113.1,1771228475125,1500,62,62_trial11_female_gato.wav,855.975,2253.000,1397.025,ok,-40.000,false,
12,1,female,oso,2,1,Target_Stimuli/female/oso.mp3,1771228476648,0.000,805.875,805.875,0.000,6016.800,1771228476648,1771228482664.8,1500,62,62_trial12_female_oso.wav,805.875,1796.104,990.229,ok,-40.000,false,
13,1,male,basurero,23,2,Target_Stimuli/male/basurero.mp3,1771228484191,0.100,1192.100,1192.000,0.100,6005.300,1771228484191.1,1771228490196.3,1500,62,62_trial13_male_basurero.wav,1192.000,1830.021,638.021,ok,-40.000,false,
