trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,1,male,fresas,9,1,Target_Stimuli/male/fresas.mp3,1769838845578,0.200,1002.200,1002.000,0.200,6034.800,1769838845578.2,1769838851612.8,1500,35,35_trial1_male_fresas.wav,1002.000,4485.333,3483.333,ok,-40.000,false,
2,1,male,naranja,22,2,Target_Stimuli/male/naranja.mp3,1769838853141,0.200,1121.200,1121.000,0.100,6031.100,1769838853141.1,1769838859172.1,1500,35,35_trial2_male_naranja.wav,1121.100,1742.313,621.212,ok,-40.000,false,
3,1,male,caballo,11,1,Target_Stimuli/male/caballo.mp3,1769838860696,0.200,880.200,880.000,0.000,6023.700,1769838860696,1769838866719.7,1500,35,35_trial3_male_caballo.wav,880.200,2043.958,1163.758,ok,-40.000,false,
4,1,female,hongos,13,2,Target_Stimuli/female/hongos.mp3,1769838868255,0.200,958.075,957.875,0.100,6024.700,1769838868255.1,1769838874279.7,1500,35,35_trial4_female_hongos.wav,957.975,3194.500,2236.525,ok,-40.000,false,
5,1,female,elote,12,1,Target_Stimuli/female/elote.mp3,1769838875805,0.200,923.075,922.875,0.100,6032.700,1769838875805.1,1769838881837.7,1500,35,35_trial5_female_elote.wav,922.975,,,no_speech_detected,-9.806,true,No onset above threshold after playback end
6,1,female,ardilla,16,2,Target_Stimuli/female/ardilla.mp3,1769838883376,0.000,999.875,999.875,0.000,6028.900,1769838883376,1769838889404.9,1500,35,35_trial6_female_ardilla.wav,999.875,,,no_speech_detected,-16.059,true,No onset above threshold after playback end
7,1,female,sandía,5,1,Target_Stimuli/female/sandia.mp3,1769838890931,0.000,1075.875,1075.875,0.000,6017.300,1769838890931,1769838896948.3,1500,35,35_trial7_female_sandia.wav,1075.875,2723.271,1647.396,ok,-40.000,false,
8,1,male,gato,21,2,Target_Stimuli/male/gato.mp3,1769838898483,0.100,856.100,856.000,0.100,6023.600,1769838898483.1,1769838904506.6,1500,35,35_trial8_male_gato.wav,856.000,1267.646,411.646,ok,-40.000,false,
9,1,male,cinta,8,1,Target_Stimuli/male/cinta.mp3,1769838906035,0.100,810.100,810.000,0.000,6019.500,1769838906035,1769838912054.5,1500,35,35_trial9_male_cinta.wav,810.100,2047.083,1236.983,ok,-40.000,false,
10,1,female,lápiz,19,2,Target_Stimuli/female/lapiz.mp3,1769838913588,0.200,898.075,897.875,0.100,6038.000,1769838913588.1,1769838919626,1500,35,35_trial10_female_lapiz.wav,897.975,2797.833,1899.858,ok,-40.000,false,
11,1,male,pato,6,1,Target_Stimuli/male/pato.mp3,1769838921164,0.200,744.200,744.000,0.100,6019.300,1769838921164.1,1769838927183.3,1500,35,35_trial11_male_pato.wav,744.100,,,no_speech_detected,-20.125,true,No onset above threshold after playback end
12,1,male,lechuga,18,2,Target_Stimuli/male/lechuga.mp3,1769838928710,0.100,1063.100,1063.000,0.000,6037.200,1769838928710,1769838934747.2,1500,35,35_trial12_male_lechuga.wav,1063.100,3866.521,2803.421,ok,-40.000,false,
13,1,male,tijeras,4,1,Target_Stimuli/male/tijeras.mp3,1769838936269,0.200,1008.200,1008.000,0.100,6027.200,1769838936269.1,1769838942296.2,1500,35,35_trial13_male_tijeras.wav,1008.100,3848.646,2840.546,ok,-40.000,false,
