trial,word,word_id,list,image_file,trial_start_epoch_ms,image_onset_ms,image_onset_epoch_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,image_onset_ms_rel,onset_ms_from_recording_start,latency_ms_from_image_onset,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,conejo,20,2,conejo.jpg,1769764272261,0.100,1769764272261.1,0.100,6021.800,1769764272261.1,1769764278282.8,1500,032,032_conejo.wav,0.000,100.583,100.583,ok,-40.000,false,
2,caballo,11,1,caballo.jpg,1769764279810,0.100,1769764279810.1,0.100,6013.000,1769764279810.1,1769764285823,1500,032,032_caballo.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
3,ardilla,16,2,ardilla.jpg,1769764287352,0.200,1769764287352.2,0.200,6011.700,1769764287352.2,1769764293363.7,1500,032,032_ardilla.wav,0.000,1831.958,1831.958,ok,-40.000,false,
4,elote,12,1,elote.jpg,1769764294887,0.200,1769764294887.2,0.200,6019.900,1769764294887.2,1769764300906.9,1500,032,032_elote.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
5,gato,21,2,gato.jpg,1769764302428,0.100,1769764302428.1,0.100,6006.200,1769764302428.1,1769764308434.2,1500,032,032_gato.wav,0.000,1362.969,1362.969,ok,-40.000,false,
6,tiza,10,1,tiza.jpg,1769764309950,0.100,1769764309950.1,0.100,6007.800,1769764309950.1,1769764315957.8,1500,032,032_tiza.wav,0.000,1212.250,1212.250,ok,-40.000,false,
7,naranja,22,2,naranja.jpg,1769764317474,0.100,1769764317474.1,0.100,6012.000,1769764317474.1,1769764323486,1500,032,032_naranja.wav,0.000,1142.198,1142.198,ok,-40.000,false,
8,fresas,9,1,fresas.jpg,1769764325011,0.100,1769764325011.1,0.100,6007.600,1769764325011.1,1769764331018.6,1500,032,032_fresas.wav,0.000,1261.125,1261.125,ok,-40.000,false,
9,cebolla,14,2,cebolla.jpg,1769764332535,0.100,1769764332535.1,0.100,6019.900,1769764332535.1,1769764338554.9,1500,032,032_cebolla.wav,0.000,1175.656,1175.656,ok,-40.000,false,
10,grapadora,7,1,grapadora.jpg,1769764340086,0.200,1769764340086.2,0.200,6019.600,1769764340086.2,1769764346105.6,1500,032,032_grapadora.wav,0.000,1923.458,1923.458,ok,-40.000,false,
11,lechuga,18,2,lechuga.jpg,1769764347623,0.200,1769764347623.2,0.200,6018.100,1769764347623.2,1769764353641.1,1500,032,032_lechuga.wav,0.000,1027.167,1027.167,ok,-40.000,false,
12,cinta,8,1,cinta.jpg,1769764355164,0.100,1769764355164.1,0.100,6016.500,1769764355164.1,1769764361180.5,1500,032,032_cinta.wav,0.000,1218.313,1218.313,ok,-40.000,false,
13,hongos,13,2,hongos.jpg,1769764362700,0.100,1769764362700.1,0.100,6017.200,1769764362700.1,1769764368717.2,1500,032,032_hongos.wav,0.000,893.396,893.396,ok,-40.000,false,
14,oso,2,1,oso.jpg,1769764370236,0.200,1769764370236.2,0.200,6014.100,1769764370236.2,1769764376250.1,1500,032,032_oso.wav,0.000,984.396,984.396,ok,-40.000,false,
15,pez,24,2,pez.jpg,1769764377774,0.100,1769764377774.1,0.100,6019.300,1769764377774.1,1769764383793.3,1500,032,032_pez.wav,0.000,969.354,969.354,ok,-40.000,false,
16,pato,6,1,pato.jpg,1769764385318,0.200,1769764385318.2,0.200,6014.500,1769764385318.2,1769764391332.5,1500,032,032_pato.wav,0.000,4232.146,4232.146,ok,-40.000,false,
17,cuaderno,15,2,cuaderno.jpg,1769764392863,0.200,1769764392863.2,0.200,6008.400,1769764392863.2,1769764398871.4,1500,032,032_cuaderno.wav,0.000,1361.781,1361.781,ok,-40.000,false,
18,sandía,5,1,sandia.jpg,1769764400391,0.200,1769764400391.2,0.200,6014.300,1769764400391.2,1769764406405.3,1500,032,032_sandía.wav,0.000,2042.615,2042.615,ok,-40.000,false,
19,basurero,23,2,basurero.jpg,1769764407932,0.400,1769764407932.4,0.400,6010.900,1769764407932.4,1769764413942.9,1500,032,032_basurero.wav,0.000,1561.458,1561.458,ok,-40.000,false,
20,reloj,3,1,reloj.jpg,1769764415465,0.200,1769764415465.2,0.200,6006.700,1769764415465.2,1769764421471.7,1500,032,032_reloj.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
21,lápiz,19,2,lapiz.jpg,1769764422990,0.100,1769764422990.1,0.100,6010.500,1769764422990.1,1769764429000.5,1500,032,032_lápiz.wav,0.000,1149.938,1149.938,ok,-40.000,false,
22,tijeras,4,1,tijeras.jpg,1769764430520,0.200,1769764430520.2,0.200,6008.900,1769764430520.2,1769764436528.9,1500,032,032_tijeras.wav,0.000,1231.771,1231.771,ok,-40.000,false,
23,loro,17,2,loro.jpg,1769764438055,0.100,1769764438055.1,0.100,6009.700,1769764438055.1,1769764444064.7,1500,032,032_loro.wav,0.000,1075.948,1075.948,ok,-40.000,false,
24,manzana,1,1,manzana.jpg,1769764445581,0.000,1769764445581,0.000,6015.600,1769764445581,1769764451596.6,1500,032,032_manzana.wav,0.000,954.177,954.177,ok,-40.000,false,
