trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
15,1,male,ardilla,16,2,Target_Stimuli/male/ardilla.mp3,1.76948E+12,0.3,1000.3,1000,0.2,6043.7,1.76948E+12,1.76948E+12,1500,12,12_trial15_male_ardilla.wav,1000.1,2367.021,1366.921,ok,-40,FALSE,
17,1,female,basurero,23,2,Target_Stimuli/female/basurero.mp3,1.76948E+12,0.1,1191.975,1191.875,0,6037.7,1.76948E+12,1.76948E+12,1500,12,12_trial17_female_basurero.wav,1191.975,2019.25,827.275,ok,-40,FALSE,
4,1,male,caballo,11,1,Target_Stimuli/male/caballo.mp3,1.76948E+12,0.2,880.2,880,0.1,6034.1,1.76948E+12,1.76948E+12,1500,12,12_trial4_male_caballo.wav,880.1,2463.938,1583.837,ok,-40,FALSE,
9,1,male,cebolla,14,2,Target_Stimuli/male/cebolla.mp3,1.76948E+12,0.2,881.2,881,0.1,6039.9,1.76948E+12,1.76948E+12,1500,12,12_trial9_male_cebolla.wav,881.1,,,no_speech_detected,-12.215,TRUE,No onset above threshold after playback end
18,1,female,cinta,8,1,Target_Stimuli/female/cinta.mp3,1.76948E+12,0.2,810.075,809.875,0.2,6042.2,1.76948E+12,1.76948E+12,1500,12,12_trial18_female_cinta.wav,809.875,2030.667,1220.792,ok,-40,FALSE,
21,1,male,conejo,20,2,Target_Stimuli/male/conejo.mp3,1.76948E+12,0.3,945.3,945,0.1,6034.6,1.76948E+12,1.76948E+12,1500,12,12_trial21_male_conejo.wav,945.2,2374.438,1429.238,ok,-40,FALSE,
19,1,female,cuaderno,15,2,Target_Stimuli/female/cuaderno.mp3,1.76948E+12,0.1,992.975,992.875,0.1,6033.8,1.76948E+12,1.76948E+12,1500,12,12_trial19_female_cuaderno.wav,992.875,2342.875,1350,ok,-40,FALSE,
8,1,male,elote,12,1,Target_Stimuli/male/elote.mp3,1.76948E+12,0.3,923.3,923,0.2,6036,1.76948E+12,1.76948E+12,1500,12,12_trial8_male_elote.wav,923.1,2431.021,1507.921,ok,-40,FALSE,
20,1,female,fresas,9,1,Target_Stimuli/female/fresas.mp3,1.76948E+12,0.2,1002.075,1001.875,0.1,6039.1,1.76948E+12,1.76948E+12,1500,12,12_trial20_female_fresas.wav,1001.975,,,no_speech_detected,-17.147,TRUE,No onset above threshold after playback end
5,1,male,gato,21,2,Target_Stimuli/male/gato.mp3,1.76948E+12,0.2,856.2,856,0.1,6027.2,1.76948E+12,1.76948E+12,1500,12,12_trial5_male_gato.wav,856.1,5697.417,4841.317,ok,-40,FALSE,
12,1,male,grapadora,7,1,Target_Stimuli/male/grapadora.mp3,1.76948E+12,0.3,1216.3,1216,0.1,6044.8,1.76948E+12,1.76948E+12,1500,12,12_trial12_male_grapadora.wav,1216.2,,,no_speech_detected,-9.784,TRUE,No onset above threshold after playback end
13,1,female,hongos,13,2,Target_Stimuli/female/hongos.mp3,1.76948E+12,0.2,958.075,957.875,0.2,6042.2,1.76948E+12,1.76948E+12,1500,12,12_trial13_female_hongos.wav,957.875,2177.646,1219.771,ok,-40,FALSE,
3,1,male,lapiz,19,2,Target_Stimuli/male/lapiz.mp3,1.76948E+12,0.1,898.1,898,0.1,6022.5,1.76948E+12,1.76948E+12,1500,12,12_trial3_male_lapiz.wav,898,2470.021,1572.021,ok,-40,FALSE,
23,1,female,lechuga,18,2,Target_Stimuli/female/lechuga.mp3,1.76948E+12,0.2,1063.075,1062.875,0.1,6036.4,1.76948E+12,1.76948E+12,1500,12,12_trial23_female_lechuga.wav,1062.975,2365.375,1302.4,ok,-40,FALSE,
