trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,1,male,conejo,20,2,Target_Stimuli/male/conejo.mp3,1769893428954,0.200,945.200,945.000,0.100,6022.400,1769893428954.1,1769893434976.4,1500,036,036_trial1_male_conejo.wav,945.100,1166.000,220.900,ok,-40.000,false,
2,1,female,caballo,11,1,Target_Stimuli/female/caballo.mp3,1769893436524,0.300,880.175,879.875,0.200,6030.200,1769893436524.2,1769893442554.2,1500,036,036_trial2_female_caballo.wav,879.975,2484.000,1604.025,ok,-40.000,false,
3,1,female,loro,17,2,Target_Stimuli/female/loro.mp3,1769893444094,0.300,870.175,869.875,0.100,6025.000,1769893444094.1,1769893450119,1500,036,036_trial3_female_loro.wav,870.075,1932.646,1062.571,ok,-40.000,false,
4,1,female,cinta,8,1,Target_Stimuli/female/cinta.mp3,1769893451669,0.200,810.075,809.875,0.100,6016.700,1769893451669.1,1769893457685.7,1500,036,036_trial4_female_cinta.wav,809.975,1903.354,1093.379,ok,-40.000,false,
5,1,female,cuaderno,15,2,Target_Stimuli/female/cuaderno.mp3,1769893459234,0.200,993.075,992.875,0.100,6021.800,1769893459234.1,1769893465255.8,1500,036,036_trial5_female_cuaderno.wav,992.975,2944.563,1951.588,ok,-40.000,false,
6,1,male,tiza,10,1,Target_Stimuli/male/tiza.mp3,1769893466806,0.200,797.200,797.000,0.200,6030.000,1769893466806.2,1769893472836,1500,036,036_trial6_male_tiza.wav,797.000,1991.313,1194.313,ok,-40.000,false,
7,1,male,hongos,13,2,Target_Stimuli/male/hongos.mp3,1769893474379,0.100,958.100,958.000,0.000,6027.400,1769893474379,1769893480406.4,1500,036,036_trial7_male_hongos.wav,958.100,1837.854,879.754,ok,-40.000,false,
8,1,female,elote,12,1,Target_Stimuli/female/elote.mp3,1769893481961,0.300,923.175,922.875,0.200,6015.500,1769893481961.2,1769893487976.5,1500,036,036_trial8_female_elote.wav,922.975,1888.250,965.275,ok,-40.000,false,
9,1,female,cebolla,14,2,Target_Stimuli/female/cebolla.mp3,1769893489519,0.100,880.975,880.875,0.000,6023.500,1769893489519,1769893495542.5,1500,036,036_trial9_female_cebolla.wav,880.975,,,no_speech_detected,-13.350,true,No onset above threshold after playback end
10,1,male,grapadora,7,1,Target_Stimuli/male/grapadora.mp3,1769893497092,0.100,1216.100,1216.000,0.000,6023.800,1769893497092,1769893503115.8,1500,036,036_trial10_male_grapadora.wav,1216.100,2470.208,1254.108,ok,-40.000,false,
11,1,male,gato,21,2,Target_Stimuli/male/gato.mp3,1769893504663,0.200,856.200,856.000,0.200,6023.800,1769893504663.2,1769893510686.8,1500,036,036_trial11_male_gato.wav,856.000,2156.854,1300.854,ok,-40.000,false,
12,1,female,oso,2,1,Target_Stimuli/female/oso.mp3,1769893512242,0.100,805.975,805.875,0.000,6021.900,1769893512242,1769893518263.9,1500,036,036_trial12_female_oso.wav,805.975,2192.917,1386.942,ok,-40.000,false,
13,1,female,naranja,22,2,Target_Stimuli/female/naranja.mp3,1769893519812,0.100,1120.975,1120.875,0.000,6021.900,1769893519812,1769893525833.9,1500,036,036_trial13_female_naranja.wav,1120.975,1706.146,585.171,ok,-40.000,false,
14,1,male,tijeras,4,1,Target_Stimuli/male/tijeras.mp3,1769893527376,0.200,1008.200,1008.000,0.000,6023.900,1769893527376,1769893533399.9,1500,036,036_trial14_male_tijeras.wav,1008.200,,,no_speech_detected,-14.062,true,No onset above threshold after playback end
15,1,male,lechuga,18,2,Target_Stimuli/male/lechuga.mp3,1769893534947,0.300,1063.300,1063.000,0.100,6017.400,1769893534947.1,1769893540964.4,1500,036,036_trial15_male_lechuga.wav,1063.200,2777.854,1714.654,ok,-40.000,false,
16,1,female,pato,6,1,Target_Stimuli/female/pato.mp3,1769893542511,0.100,743.975,743.875,0.100,6015.300,1769893542511.1,1769893548526.3,1500,036,036_trial16_female_pato.wav,743.875,2639.854,1895.979,ok,-40.000,false,
17,1,female,ardilla,16,2,Target_Stimuli/female/ardilla.mp3,1769893550074,0.200,1000.075,999.875,0.100,6025.700,1769893550074.1,1769893556099.7,1500,036,036_trial17_female_ardilla.wav,999.975,1784.021,784.046,ok,-40.000,false,
18,1,female,fresas,9,1,Target_Stimuli/female/fresas.mp3,1769893557648,0.200,1002.075,1001.875,0.100,6024.200,1769893557648.1,1769893563672.2,1500,036,036_trial18_female_fresas.wav,1001.975,,,no_speech_detected,-17.083,true,No onset above threshold after playback end
19,1,male,basurero,23,2,Target_Stimuli/male/basurero.mp3,1769893565226,0.300,1192.300,1192.000,0.200,6021.300,1769893565226.2,1769893571247.3,1500,036,036_trial19_male_basurero.wav,1192.100,1670.792,478.692,ok,-40.000,false,
20,1,male,manzana,1,1,Target_Stimuli/male/manzana.mp3,1769893572797,0.100,1164.100,1164.000,0.100,6033.300,1769893572797.1,1769893578830.3,1500,036,036_trial20_male_manzana.wav,1164.000,2150.167,986.167,ok,-40.000,false,
21,1,male,pez,24,2,Target_Stimuli/male/pez.mp3,1769893580379,0.100,596.100,596.000,0.000,6016.100,1769893580379,1769893586395.1,1500,036,036_trial21_male_pez.wav,596.100,1640.458,1044.358,ok,-40.000,false,
22,1,male,sandía,5,1,Target_Stimuli/male/sandia.mp3,1769893587932,0.100,1946.058,1945.958,0.100,6026.700,1769893587932.1,1769893593958.7,1500,036,036_trial22_male_sandia.wav,1945.958,,,no_speech_detected,-19.660,true,No onset above threshold after playback end
23,1,female,lápiz,19,2,Target_Stimuli/female/lapiz.mp3,1769893595497,0.100,897.975,897.875,0.100,6019.300,1769893595497.1,1769893601516.3,1500,036,036_trial23_female_lapiz.wav,897.875,1580.458,682.583,ok,-40.000,false,
24,1,male,reloj,3,1,Target_Stimuli/male/reloj.mp3,1769893603068,0.200,965.200,965.000,0.100,6023.900,1769893603068.1,1769893609091.9,1500,036,036_trial24_male_reloj.wav,965.100,,,no_speech_detected,-10.781,true,No onset above threshold after playback end
