trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,1,female,sandía,5,1,Target_Stimuli/female/sandia.mp3,1771049916168,0.200,1076.075,1075.875,0.200,6015.000,1771049916168.2,1771049922183,1500,51,51_trial1_female_sandia.wav,1075.875,1856.250,780.375,ok,-40.000,false,
2,1,male,naranja,22,2,Target_Stimuli/male/naranja.mp3,1771049923709,0.100,1121.100,1121.000,0.100,6022.800,1771049923709.1,1771049929731.8,1500,51,51_trial2_male_naranja.wav,1121.000,4212.333,3091.333,ok,-40.000,false,
3,1,male,oso,2,1,Target_Stimuli/male/oso.mp3,1771049931254,0.200,806.200,806.000,0.000,6012.200,1771049931254,1771049937266.2,1500,51,51_trial3_male_oso.wav,806.200,1877.333,1071.133,ok,-40.000,false,
4,1,female,conejo,20,2,Target_Stimuli/female/conejo.mp3,1771049938786,0.100,944.975,944.875,0.100,6021.200,1771049938786.1,1771049944807.2,1500,51,51_trial4_female_conejo.wav,944.875,,,no_speech_detected,-11.764,true,No onset above threshold after playback end
5,1,male,manzana,1,1,Target_Stimuli/male/manzana.mp3,1771049946326,0.200,1164.200,1164.000,0.000,6021.700,1771049946326,1771049952347.7,1500,51,51_trial5_male_manzana.wav,1164.200,,,no_speech_detected,-11.048,true,No onset above threshold after playback end
6,1,female,ardilla,16,2,Target_Stimuli/female/ardilla.mp3,1771049953869,0.100,999.975,999.875,0.000,6025.900,1771049953869,1771049959894.9,1500,51,51_trial6_female_ardilla.wav,999.975,1703.646,703.671,ok,-40.000,false,
7,1,male,grapadora,7,1,Target_Stimuli/male/grapadora.mp3,1771049961407,0.200,1216.200,1216.000,0.100,6014.500,1771049961407.1,1771049967421.5,1500,51,51_trial7_male_grapadora.wav,1216.100,3208.104,1992.004,ok,-40.000,false,
8,1,female,loro,17,2,Target_Stimuli/female/loro.mp3,1771049968949,0.100,869.975,869.875,0.100,6028.200,1771049968949.1,1771049974977.2,1500,51,51_trial8_female_loro.wav,869.875,1888.646,1018.771,ok,-40.000,false,
9,1,female,caballo,11,1,Target_Stimuli/female/caballo.mp3,1771049976504,0.200,880.075,879.875,0.000,6023.000,1771049976504,1771049982527,1500,51,51_trial9_female_caballo.wav,880.075,,,no_speech_detected,-14.748,true,No onset above threshold after playback end
10,1,female,pez,24,2,Target_Stimuli/female/pez.mp3,1771049984050,0.100,595.975,595.875,0.000,6023.500,1771049984050,1771049990073.5,1500,51,51_trial10_female_pez.wav,595.975,3602.146,3006.171,ok,-40.000,false,
11,1,male,tijeras,4,1,Target_Stimuli/male/tijeras.mp3,1771049991585,0.300,1008.300,1008.000,0.000,6023.400,1771049991585,1771049997608.4,1500,51,51_trial11_male_tijeras.wav,1008.300,,,no_speech_detected,-14.065,true,No onset above threshold after playback end
12,1,male,basurero,23,2,Target_Stimuli/male/basurero.mp3,1771049999125,0.300,1192.300,1192.000,0.000,6012.600,1771049999125,1771050005137.6,1500,51,51_trial12_male_basurero.wav,1192.300,1848.833,656.533,ok,-40.000,false,
13,1,female,pato,6,1,Target_Stimuli/female/pato.mp3,1771050006656,0.100,743.975,743.875,0.000,6021.700,1771050006656,1771050012677.7,1500,51,51_trial13_female_pato.wav,743.975,5086.104,4342.129,ok,-40.000,false,
14,1,female,gato,21,2,Target_Stimuli/female/gato.mp3,1771050014207,0.200,856.075,855.875,0.100,6011.300,1771050014207.1,1771050020218.3,1500,51,51_trial14_female_gato.wav,855.975,3372.667,2516.692,ok,-40.000,false,
15,1,female,cinta,8,1,Target_Stimuli/female/cinta.mp3,1771050021746,0.100,809.975,809.875,0.000,6016.700,1771050021746,1771050027762.7,1500,51,51_trial15_female_cinta.wav,809.975,,,no_speech_detected,-9.972,true,No onset above threshold after playback end
16,1,male,cuaderno,15,2,Target_Stimuli/male/cuaderno.mp3,1771050029290,0.100,993.100,993.000,0.000,6024.400,1771050029290,1771050035314.4,1500,51,51_trial16_male_cuaderno.wav,993.100,3536.896,2543.796,ok,-40.000,false,
17,1,female,tiza,10,1,Target_Stimuli/female/tiza.mp3,1771050036839,0.100,796.975,796.875,0.100,6026.400,1771050036839.1,1771050042865.4,1500,51,51_trial17_female_tiza.wav,796.875,,,no_speech_detected,-14.054,true,No onset above threshold after playback end
18,1,female,hongos,13,2,Target_Stimuli/female/hongos.mp3,1771050044386,0.100,957.975,957.875,0.100,6010.800,1771050044386.1,1771050050396.8,1500,51,51_trial18_female_hongos.wav,957.875,,,no_speech_detected,-14.809,true,No onset above threshold after playback end
19,1,female,fresas,9,1,Target_Stimuli/female/fresas.mp3,1771050051911,0.100,1001.975,1001.875,0.000,6018.600,1771050051911,1771050057929.6,1500,51,51_trial19_female_fresas.wav,1001.975,,,no_speech_detected,-16.798,true,No onset above threshold after playback end
20,1,male,cebolla,14,2,Target_Stimuli/male/cebolla.mp3,1771050059450,0.100,881.100,881.000,0.000,6020.900,1771050059450,1771050065470.9,1500,51,51_trial20_male_cebolla.wav,881.100,,,no_speech_detected,-12.157,true,No onset above threshold after playback end
21,1,male,elote,12,1,Target_Stimuli/male/elote.mp3,1771050066996,0.100,923.100,923.000,0.100,6020.800,1771050066996.1,1771050073016.8,1500,51,51_trial21_male_elote.wav,923.000,,,no_speech_detected,-8.055,true,No onset above threshold after playback end
22,1,male,lechuga,18,2,Target_Stimuli/male/lechuga.mp3,1771050074539,0.000,1063.000,1063.000,0.000,6023.100,1771050074539,1771050080562.1,1500,51,51_trial22_male_lechuga.wav,1063.000,1672.292,609.292,ok,-40.000,false,
