trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,1,male,naranja,22,2,Target_Stimuli/male/naranja.mp3,1771295723626,0.000,1121.000,1121.000,0.000,6023.600,1771295723626,1771295729649.6,1500,66,66_trial1_male_naranja.wav,1121.000,2101.146,980.146,ok,-40.000,false,
2,1,male,oso,2,1,Target_Stimuli/male/oso.mp3,1771295731170,0.100,806.100,806.000,0.100,6013.500,1771295731170.1,1771295737183.5,1500,66,66_trial2_male_oso.wav,806.000,1301.771,495.771,ok,-40.000,false,
3,1,female,ardilla,16,2,Target_Stimuli/female/ardilla.mp3,1771295738700,0.100,999.975,999.875,0.000,6015.200,1771295738700,1771295744715.2,1500,66,66_trial3_female_ardilla.wav,999.975,2039.542,1039.567,ok,-40.000,false,
4,1,male,manzana,1,1,Target_Stimuli/male/manzana.mp3,1771295746239,0.200,1164.200,1164.000,0.000,6020.800,1771295746239,1771295752259.8,1500,66,66_trial4_male_manzana.wav,1164.200,2089.583,925.383,ok,-40.000,false,
5,1,male,cebolla,14,2,Target_Stimuli/male/cebolla.mp3,1771295753782,0.600,881.600,881.000,0.000,6017.800,1771295753782,1771295759799.8,1500,66,66_trial5_male_cebolla.wav,881.600,,,no_speech_detected,-12.307,true,No onset above threshold after playback end
6,1,female,pato,6,1,Target_Stimuli/female/pato.mp3,1771295761314,0.100,743.975,743.875,0.100,6018.000,1771295761314.1,1771295767332,1500,66,66_trial6_female_pato.wav,743.875,2100.042,1356.167,ok,-40.000,false,
7,1,female,hongos,13,2,Target_Stimuli/female/hongos.mp3,1771295768846,0.100,957.975,957.875,0.100,6020.000,1771295768846.1,1771295774866,1500,66,66_trial7_female_hongos.wav,957.875,,,no_speech_detected,-15.348,true,No onset above threshold after playback end
8,1,male,cinta,8,1,Target_Stimuli/male/cinta.mp3,1771295776390,0.100,810.100,810.000,0.100,6015.600,1771295776390.1,1771295782405.6,1500,66,66_trial8_male_cinta.wav,810.000,2883.438,2073.438,ok,-40.000,false,
9,1,male,lechuga,18,2,Target_Stimuli/male/lechuga.mp3,1771295783921,0.200,1063.200,1063.000,0.200,6027.300,1771295783921.2,1771295789948.3,1500,66,66_trial9_male_lechuga.wav,1063.000,2895.375,1832.375,ok,-40.000,false,
10,1,female,reloj,3,1,Target_Stimuli/female/reloj.mp3,1771295791462,0.100,964.975,964.875,0.000,6018.100,1771295791462,1771295797480.1,1500,66,66_trial10_female_reloj.wav,964.975,2054.688,1089.713,ok,-40.000,false,
11,1,male,conejo,20,2,Target_Stimuli/male/conejo.mp3,1771295799002,0.000,945.000,945.000,0.000,6013.000,1771295799002,1771295805015,1500,66,66_trial11_male_conejo.wav,945.000,,,no_speech_detected,-10.012,true,No onset above threshold after playback end
12,1,female,tijeras,4,1,Target_Stimuli/female/tijeras.mp3,1771295806539,0.300,1008.175,1007.875,0.000,6018.700,1771295806539,1771295812557.7,1500,66,66_trial12_female_tijeras.wav,1008.175,3969.604,2961.429,ok,-40.000,false,
13,1,male,loro,17,2,Target_Stimuli/male/loro.mp3,1771295814081,0.000,870.000,870.000,0.000,6016.000,1771295814081,1771295820097,1500,66,66_trial13_male_loro.wav,870.000,5729.479,4859.479,ok,-40.000,false,
14,1,male,tiza,10,1,Target_Stimuli/male/tiza.mp3,1771295821625,0.100,797.100,797.000,0.000,6014.400,1771295821625,1771295827639.4,1500,66,66_trial14_male_tiza.wav,797.100,2914.063,2116.963,ok,-40.000,false,
15,1,female,cuaderno,15,2,Target_Stimuli/female/cuaderno.mp3,1771295829150,0.100,992.975,992.875,0.100,6016.100,1771295829150.1,1771295835166.1,1500,66,66_trial15_female_cuaderno.wav,992.875,,,no_speech_detected,-12.093,true,No onset above threshold after playback end
16,1,male,grapadora,7,1,Target_Stimuli/male/grapadora.mp3,1771295836681,0.100,1216.100,1216.000,0.000,6013.900,1771295836681,1771295842694.9,1500,66,66_trial16_male_grapadora.wav,1216.100,2253.250,1037.150,ok,-40.000,false,
17,1,female,basurero,23,2,Target_Stimuli/female/basurero.mp3,1771295844208,0.000,1191.875,1191.875,0.000,6028.200,1771295844208,1771295850236.2,1500,66,66_trial17_female_basurero.wav,1191.875,,,no_speech_detected,-13.413,true,No onset above threshold after playback end
18,1,female,caballo,11,1,Target_Stimuli/female/caballo.mp3,1771295851752,0.100,879.975,879.875,0.000,6012.700,1771295851752,1771295857764.7,1500,66,66_trial18_female_caballo.wav,879.975,1989.292,1109.317,ok,-40.000,false,
19,1,male,gato,21,2,Target_Stimuli/male/gato.mp3,1771295859277,0.000,856.000,856.000,0.000,6012.600,1771295859277,1771295865289.6,1500,66,66_trial19_male_gato.wav,856.000,4918.417,4062.417,ok,-40.000,false,
20,1,female,sandía,5,1,Target_Stimuli/female/sandia.mp3,1771295866816,0.500,1076.375,1075.875,0.400,6016.100,1771295866816.4,1771295872832.1,1500,66,66_trial20_female_sandia.wav,1075.975,2416.771,1340.796,ok,-40.000,false,
21,1,female,pez,24,2,Target_Stimuli/female/pez.mp3,1771295874347,0.100,595.975,595.875,0.100,6017.800,1771295874347.1,1771295880364.8,1500,66,66_trial21_female_pez.wav,595.875,,,no_speech_detected,-16.481,true,No onset above threshold after playback end
22,1,female,elote,12,1,Target_Stimuli/female/elote.mp3,1771295881890,0.300,923.175,922.875,0.000,6019.600,1771295881890,1771295887909.6,1500,66,66_trial22_female_elote.wav,923.175,5135.500,4212.325,ok,-40.000,false,
23,1,female,lápiz,19,2,Target_Stimuli/female/lapiz.mp3,1771295889429,0.300,898.175,897.875,0.100,6012.800,1771295889429.1,1771295895441.8,1500,66,66_trial23_female_lapiz.wav,898.075,,,no_speech_detected,-13.093,true,No onset above threshold after playback end
24,1,male,fresas,9,1,Target_Stimuli/male/fresas.mp3,1771295896959,0.200,1002.200,1002.000,0.100,6013.000,1771295896959.1,1771295902972,1500,66,66_trial24_male_fresas.wav,1002.100,4548.979,3546.879,ok,-40.000,false,
