trial,word,word_id,list,image_file,trial_start_epoch_ms,image_onset_ms,image_onset_epoch_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,image_onset_ms_rel,onset_ms_from_recording_start,latency_ms_from_image_onset,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,cinta,8,1,cinta.jpg,1771033274834,0.200,1771033274834.2,0.200,6014.200,1771033274834.2,1771033280848.2,1500,47,47_cinta.wav,0.000,1516.042,1516.042,ok,-40.000,false,
2,gato,21,2,gato.jpg,1771033282374,0.300,1771033282374.3,0.300,6023.100,1771033282374.3,1771033288397.1,1500,47,47_gato.wav,0.000,1983.146,1983.146,ok,-40.000,false,
3,sandía,5,1,sandia.jpg,1771033289913,0.100,1771033289913.1,0.100,6025.300,1771033289913.1,1771033295938.3,1500,47,47_sandía.wav,0.000,2238.688,2238.688,ok,-40.000,false,
4,basurero,23,2,basurero.jpg,1771033297465,0.300,1771033297465.3,0.300,6013.300,1771033297465.3,1771033303478.3,1500,47,47_basurero.wav,0.000,267.313,267.313,ok,-40.000,false,
5,tiza,10,1,tiza.jpg,1771033304998,0.200,1771033304998.2,0.200,6015.700,1771033304998.2,1771033311013.7,1500,47,47_tiza.wav,0.000,2305.729,2305.729,ok,-40.000,false,
6,ardilla,16,2,ardilla.jpg,1771033312529,0.200,1771033312529.2,0.200,6014.500,1771033312529.2,1771033318543.5,1500,47,47_ardilla.wav,0.000,2129.938,2129.938,ok,-40.000,false,
7,elote,12,1,elote.jpg,1771033320061,0.100,1771033320061.1,0.100,6019.700,1771033320061.1,1771033326080.7,1500,47,47_elote.wav,0.000,2119.854,2119.854,ok,-40.000,false,
8,loro,17,2,loro.jpg,1771033327594,0.300,1771033327594.3,0.300,6022.000,1771033327594.3,1771033333616,1500,47,47_loro.wav,0.000,959.583,959.583,ok,-40.000,false,
9,oso,2,1,oso.jpg,1771033335137,0.300,1771033335137.3,0.300,6018.500,1771033335137.3,1771033341155.5,1500,47,47_oso.wav,0.000,1650.625,1650.625,ok,-40.000,false,
10,hongos,13,2,hongos.jpg,1771033342680,0.200,1771033342680.2,0.200,6021.800,1771033342680.2,1771033348701.8,1500,47,47_hongos.wav,0.000,2032.271,2032.271,ok,-40.000,false,
11,grapadora,7,1,grapadora.jpg,1771033350222,0.200,1771033350222.2,0.200,6011.900,1771033350222.2,1771033356233.9,1500,47,47_grapadora.wav,0.000,528.792,528.792,ok,-40.000,false,
12,naranja,22,2,naranja.jpg,1771033357746,0.300,1771033357746.3,0.300,6015.900,1771033357746.3,1771033363761.9,1500,47,47_naranja.wav,0.000,3008.354,3008.354,ok,-40.000,false,
13,reloj,3,1,reloj.jpg,1771033365287,0.300,1771033365287.3,0.300,6021.700,1771033365287.3,1771033371308.7,1500,47,47_reloj.wav,0.000,2653.250,2653.250,ok,-40.000,false,
14,conejo,20,2,conejo.jpg,1771033372819,0.100,1771033372819.1,0.100,6025.500,1771033372819.1,1771033378844.5,1500,47,47_conejo.wav,0.000,3905.083,3905.083,ok,-40.000,false,
15,caballo,11,1,caballo.jpg,1771033380356,0.200,1771033380356.2,0.200,6017.200,1771033380356.2,1771033386373.2,1500,47,47_caballo.wav,0.000,2322.479,2322.479,ok,-40.000,false,
16,pez,24,2,pez.jpg,1771033387894,0.300,1771033387894.3,0.300,6023.900,1771033387894.3,1771033393917.9,1500,47,47_pez.wav,0.000,1729.375,1729.375,ok,-40.000,false,
17,pato,6,1,pato.jpg,1771033395431,0.200,1771033395431.2,0.200,6023.400,1771033395431.2,1771033401454.4,1500,47,47_pato.wav,0.000,1981.583,1981.583,ok,-40.000,false,
18,lápiz,19,2,lapiz.jpg,1771033402973,0.300,1771033402973.3,0.300,6014.500,1771033402973.3,1771033408987.5,1500,47,47_lápiz.wav,0.000,1742.333,1742.333,ok,-40.000,false,
19,tijeras,4,1,tijeras.jpg,1771033410511,0.300,1771033410511.3,0.300,6024.400,1771033410511.3,1771033416535.4,1500,47,47_tijeras.wav,0.000,5019.146,5019.146,ok,-40.000,false,
20,lechuga,18,2,lechuga.jpg,1771033418055,0.300,1771033418055.3,0.300,6016.200,1771033418055.3,1771033424071.2,1500,47,47_lechuga.wav,0.000,4596.000,4596.000,ok,-40.000,false,
21,fresas,9,1,fresas.jpg,1771033425595,0.200,1771033425595.2,0.200,6014.600,1771033425595.2,1771033431609.6,1500,47,47_fresas.wav,0.000,1738.938,1738.938,ok,-40.000,false,
22,cuaderno,15,2,cuaderno.jpg,1771033433136,0.100,1771033433136.1,0.200,6023.400,1771033433136.2,1771033439159.4,1500,47,47_cuaderno.wav,0.000,2050.438,2050.438,ok,-40.000,false,
23,manzana,1,1,manzana.jpg,1771033440680,0.200,1771033440680.2,0.200,6011.400,1771033440680.2,1771033446691.4,1500,47,47_manzana.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
24,cebolla,14,2,cebolla.jpg,1771033448213,0.200,1771033448213.2,0.200,6023.200,1771033448213.2,1771033454236.2,1500,47,47_cebolla.wav,0.000,1951.083,1951.083,ok,-40.000,false,
