trial,word,word_id,list,image_file,trial_start_epoch_ms,image_onset_ms,image_onset_epoch_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,image_onset_ms_rel,onset_ms_from_recording_start,latency_ms_from_image_onset,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,tiza,10,1,tiza.jpg,1771297905853,0.400,1771297905853.4,0.400,6022.800,1771297905853.4,1771297911875.8,1500,67,67_tiza.wav,0.000,131.771,131.771,ok,-40.000,false,
2,pez,24,2,pez.jpg,1771297913387,0.300,1771297913387.3,0.300,6019.300,1771297913387.3,1771297919406.3,1500,67,67_pez.wav,0.000,3649.938,3649.938,ok,-40.000,false,
3,oso,2,1,oso.jpg,1771297920925,0.300,1771297920925.3,0.300,6018.700,1771297920925.3,1771297926943.7,1500,67,67_oso.wav,0.000,985.104,985.104,ok,-40.000,false,
4,hongos,13,2,hongos.jpg,1771297928460,0.400,1771297928460.4,0.400,6023.200,1771297928460.4,1771297934483.2,1500,67,67_hongos.wav,0.000,4336.083,4336.083,ok,-40.000,false,
5,reloj,3,1,reloj.jpg,1771297935997,0.300,1771297935997.3,0.300,6026.800,1771297935997.3,1771297942023.8,1500,67,67_reloj.wav,0.000,3544.708,3544.708,ok,-40.000,false,
6,lechuga,18,2,lechuga.jpg,1771297943544,0.300,1771297943544.3,0.300,6024.300,1771297943544.3,1771297949568.3,1500,67,67_lechuga.wav,0.000,4331.292,4331.292,ok,-40.000,false,
7,caballo,11,1,caballo.jpg,1771297951085,0.300,1771297951085.3,0.300,6010.300,1771297951085.3,1771297957095.3,1500,67,67_caballo.wav,0.000,2518.417,2518.417,ok,-40.000,false,
8,gato,21,2,gato.jpg,1771297958616,0.300,1771297958616.3,0.300,6023.200,1771297958616.3,1771297964639.2,1500,67,67_gato.wav,0.000,4209.229,4209.229,ok,-40.000,false,
9,cinta,8,1,cinta.jpg,1771297966164,0.200,1771297966164.2,0.200,6022.000,1771297966164.2,1771297972186,1500,67,67_cinta.wav,0.000,2104.375,2104.375,ok,-40.000,false,
10,cebolla,14,2,cebolla.jpg,1771297973708,0.300,1771297973708.3,0.300,6018.100,1771297973708.3,1771297979726.1,1500,67,67_cebolla.wav,0.000,4674.708,4674.708,ok,-40.000,false,
11,sandía,5,1,sandia.jpg,1771297981254,0.300,1771297981254.3,0.300,6025.800,1771297981254.3,1771297987279.8,1500,67,67_sandía.wav,0.000,1681.896,1681.896,ok,-40.000,false,
12,ardilla,16,2,ardilla.jpg,1771297988796,0.200,1771297988796.2,0.200,6023.400,1771297988796.2,1771297994819.4,1500,67,67_ardilla.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
13,elote,12,1,elote.jpg,1771297996335,0.400,1771297996335.4,0.400,6020.800,1771297996335.4,1771298002355.8,1500,67,67_elote.wav,0.000,1572.458,1572.458,ok,-40.000,false,
14,lápiz,19,2,lapiz.jpg,1771298003869,0.300,1771298003869.3,0.300,6015.600,1771298003869.3,1771298009884.6,1500,67,67_lápiz.wav,0.000,1596.667,1596.667,ok,-40.000,false,
15,manzana,1,1,manzana.jpg,1771298011405,0.300,1771298011405.3,0.300,6013.300,1771298011405.3,1771298017418.3,1500,67,67_manzana.wav,0.000,2702.563,2702.563,ok,-40.000,false,
16,cuaderno,15,2,cuaderno.jpg,1771298018944,0.200,1771298018944.2,0.200,6012.000,1771298018944.2,1771298024956,1500,67,67_cuaderno.wav,0.000,3476.813,3476.813,ok,-40.000,false,
17,tijeras,4,1,tijeras.jpg,1771298026478,0.300,1771298026478.3,0.300,6020.200,1771298026478.3,1771298032498.2,1500,67,67_tijeras.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
18,naranja,22,2,naranja.jpg,1771298034012,0.200,1771298034012.2,0.200,6011.400,1771298034012.2,1771298040023.4,1500,67,67_naranja.wav,0.000,3013.188,3013.188,ok,-40.000,false,
19,grapadora,7,1,grapadora.jpg,1771298041541,0.100,1771298041541.1,0.100,6018.300,1771298041541.1,1771298047559.3,1500,67,67_grapadora.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
20,loro,17,2,loro.jpg,1771298049083,0.300,1771298049083.3,0.300,6023.800,1771298049083.3,1771298055106.8,1500,67,67_loro.wav,0.000,861.896,861.896,ok,-40.000,false,
21,pato,6,1,pato.jpg,1771298056624,0.300,1771298056624.3,0.300,6016.400,1771298056624.3,1771298062640.4,1500,67,67_pato.wav,0.000,1562.583,1562.583,ok,-40.000,false,
22,basurero,23,2,basurero.jpg,1771298064161,0.200,1771298064161.2,0.200,6022.400,1771298064161.2,1771298070183.4,1500,67,67_basurero.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
23,fresas,9,1,fresas.jpg,1771298071704,0.300,1771298071704.3,0.300,6020.100,1771298071704.3,1771298077724.1,1500,67,67_fresas.wav,0.000,4674.271,4674.271,ok,-45.000,true,
24,conejo,20,2,conejo.jpg,1771298079253,0.300,1771298079253.3,0.300,6014.300,1771298079253.3,1771298085267.3,1500,67,67_conejo.wav,0.000,3363.354,3363.354,ok,-40.000,false,
