trial,word,word_id,list,image_file,trial_start_epoch_ms,image_onset_ms,image_onset_epoch_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,image_onset_ms_rel,onset_ms_from_recording_start,latency_ms_from_image_onset,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,pato,6,1,pato.jpg,1771220368925,0.200,1771220368925.2,0.200,6022.200,1771220368925.2,1771220374947.2,1500,59,59_pato.wav,0.000,2168.500,2168.500,ok,-40.000,false,
2,naranja,22,2,naranja.jpg,1771220376465,0.200,1771220376465.2,0.200,6028.500,1771220376465.2,1771220382493.5,1500,59,59_naranja.wav,0.000,3787.458,3787.458,ok,-40.000,false,
3,sandía,5,1,sandia.jpg,1771220384012,0.200,1771220384012.2,0.200,6021.300,1771220384012.2,1771220390033.3,1500,59,59_sandía.wav,0.000,1329.479,1329.479,ok,-40.000,false,
4,lápiz,19,2,lapiz.jpg,1771220391548,0.300,1771220391548.3,0.300,6014.800,1771220391548.3,1771220397562.8,1500,59,59_lápiz.wav,0.000,2559.167,2559.167,ok,-40.000,false,
5,tijeras,4,1,tijeras.jpg,1771220399087,0.200,1771220399087.2,0.200,6018.900,1771220399087.2,1771220405105.9,1500,59,59_tijeras.wav,0.000,2831.583,2831.583,ok,-40.000,false,
6,cebolla,14,2,cebolla.jpg,1771220406629,0.200,1771220406629.2,0.200,6020.300,1771220406629.2,1771220412649.3,1500,59,59_cebolla.wav,0.000,2052.208,2052.208,ok,-40.000,false,
7,fresas,9,1,fresas.jpg,1771220414171,0.200,1771220414171.2,0.200,6023.300,1771220414171.2,1771220420194.3,1500,59,59_fresas.wav,0.000,2322.479,2322.479,ok,-40.000,false,
8,gato,21,2,gato.jpg,1771220421727,0.200,1771220421727.2,0.200,6020.900,1771220421727.2,1771220427747.9,1500,59,59_gato.wav,0.000,1018.500,1018.500,ok,-40.000,false,
9,cinta,8,1,cinta.jpg,1771220429272,0.100,1771220429272.1,0.200,6024.900,1771220429272.2,1771220435296.9,1500,59,59_cinta.wav,0.000,1536.458,1536.458,ok,-40.000,false,
10,ardilla,16,2,ardilla.jpg,1771220436810,0.200,1771220436810.2,0.200,6026.700,1771220436810.2,1771220442836.7,1500,59,59_ardilla.wav,0.000,2844.646,2844.646,ok,-40.000,false,
11,reloj,3,1,reloj.jpg,1771220444359,0.200,1771220444359.2,0.200,6015.000,1771220444359.2,1771220450374,1500,59,59_reloj.wav,0.000,1593.208,1593.208,ok,-40.000,false,
12,conejo,20,2,conejo.jpg,1771220451893,0.300,1771220451893.3,0.300,6025.000,1771220451893.3,1771220457918,1500,59,59_conejo.wav,0.000,3215.479,3215.479,ok,-40.000,false,
13,caballo,11,1,caballo.jpg,1771220459441,0.400,1771220459441.4,0.400,6015.200,1771220459441.4,1771220465456.2,1500,59,59_caballo.wav,0.000,1769.375,1769.375,ok,-40.000,false,
14,hongos,13,2,hongos.jpg,1771220466973,0.300,1771220466973.3,0.300,6015.700,1771220466973.3,1771220472988.7,1500,59,59_hongos.wav,0.000,1956.708,1956.708,ok,-40.000,false,
15,oso,2,1,oso.jpg,1771220474507,0.300,1771220474507.3,0.300,6009.500,1771220474507.3,1771220480516.5,1500,59,59_oso.wav,0.000,2858.875,2858.875,ok,-40.000,false,
16,loro,17,2,loro.jpg,1771220482031,0.400,1771220482031.4,0.400,6022.200,1771220482031.4,1771220488053.2,1500,59,59_loro.wav,0.000,1132.188,1132.188,ok,-40.000,false,
17,manzana,1,1,manzana.jpg,1771220489581,0.300,1771220489581.3,0.300,6020.700,1771220489581.3,1771220495601.7,1500,59,59_manzana.wav,0.000,243.000,243.000,ok,-40.000,false,
18,cuaderno,15,2,cuaderno.jpg,1771220497127,0.200,1771220497127.2,0.200,6015.800,1771220497127.2,1771220503142.8,1500,59,59_cuaderno.wav,0.000,3569.146,3569.146,ok,-40.000,false,
19,grapadora,7,1,grapadora.jpg,1771220504659,0.300,1771220504659.3,0.300,6022.100,1771220504659.3,1771220510681.1,1500,59,59_grapadora.wav,0.000,2179.125,2179.125,ok,-40.000,false,
20,pez,24,2,pez.jpg,1771220512196,0.100,1771220512196.1,0.100,6028.000,1771220512196.1,1771220518224,1500,59,59_pez.wav,0.000,1407.667,1407.667,ok,-40.000,false,
21,tiza,10,1,tiza.jpg,1771220519737,0.200,1771220519737.2,0.200,6028.300,1771220519737.2,1771220525765.3,1500,59,59_tiza.wav,0.000,2119.625,2119.625,ok,-40.000,false,
22,basurero,23,2,basurero.jpg,1771220527285,0.700,1771220527285.7,0.700,6016.600,1771220527285.7,1771220533301.6,1500,59,59_basurero.wav,0.000,1504.625,1504.625,ok,-40.000,false,
23,elote,12,1,elote.jpg,1771220534815,0.200,1771220534815.2,0.200,6014.800,1771220534815.2,1771220540829.8,1500,59,59_elote.wav,0.000,1199.646,1199.646,ok,-40.000,false,
24,lechuga,18,2,lechuga.jpg,1771220542351,0.100,1771220542351.1,0.100,6023.800,1771220542351.1,1771220548374.8,1500,59,59_lechuga.wav,0.000,3647.375,3647.375,ok,-40.000,false,
