trial,word,word_id,list,image_file,trial_start_epoch_ms,image_onset_ms,image_onset_epoch_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,image_onset_ms_rel,onset_ms_from_recording_start,latency_ms_from_image_onset,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,tijeras,4,1,tijeras.jpg,1769742236038,0.800,1769742236038.8,0.800,6024.100,1769742236038.8,1769742242062.1,1500,33,33_tijeras.wav,0.000,55.476,55.476,ok,-40.000,false,
2,cuaderno,15,2,cuaderno.jpg,1769742243588,0.200,1769742243588.2,0.200,6020.900,1769742243588.2,1769742249608.9,1500,33,33_cuaderno.wav,0.000,2032.642,2032.642,ok,-40.000,false,
3,sandía,5,1,sandia.jpg,1769742251139,0.700,1769742251139.7,0.700,6013.200,1769742251139.7,1769742257152.2,1500,33,33_sandía.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
4,lechuga,18,2,lechuga.jpg,1769742258673,0.300,1769742258673.3,0.300,6019.800,1769742258673.3,1769742264692.8,1500,33,33_lechuga.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
5,manzana,1,1,manzana.jpg,1769742266225,0.200,1769742266225.2,0.200,6022.600,1769742266225.2,1769742272247.6,1500,33,33_manzana.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
6,loro,17,2,loro.jpg,1769742273777,0.300,1769742273777.3,0.300,6026.100,1769742273777.3,1769742279803.1,1500,33,33_loro.wav,0.000,1362.460,1362.460,ok,-40.000,false,
7,fresas,9,1,fresas.jpg,1769742281339,0.200,1769742281339.2,0.200,6024.000,1769742281339.2,1769742287363,1500,33,33_fresas.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
8,naranja,22,2,naranja.jpg,1769742288898,0.800,1769742288898.8,0.800,6026.500,1769742288898.8,1769742294924.5,1500,33,33_naranja.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
9,oso,2,1,oso.jpg,1769742296447,0.200,1769742296447.2,0.200,6016.100,1769742296447.2,1769742302463.1,1500,33,33_oso.wav,0.000,2957.721,2957.721,ok,-40.000,false,
10,cebolla,14,2,cebolla.jpg,1769742303993,0.200,1769742303993.2,0.200,6025.200,1769742303993.2,1769742310018.2,1500,33,33_cebolla.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
11,elote,12,1,elote.jpg,1769742311542,2.200,1769742311544.2,2.200,6016.800,1769742311544.2,1769742317558.8,1500,33,33_elote.wav,0.000,3469.558,3469.558,ok,-40.000,false,
12,ardilla,16,2,ardilla.jpg,1769742319089,0.200,1769742319089.2,0.200,6019.100,1769742319089.2,1769742325108.1,1500,33,33_ardilla.wav,0.000,3573.141,3573.141,ok,-40.000,false,
13,reloj,3,1,reloj.jpg,1769742326636,0.100,1769742326636.1,0.100,6013.700,1769742326636.1,1769742332649.7,1500,33,33_reloj.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
14,hongos,13,2,hongos.jpg,1769742334179,0.300,1769742334179.3,0.300,6017.400,1769742334179.3,1769742340196.4,1500,33,33_hongos.wav,0.000,1646.111,1646.111,ok,-40.000,false,
15,caballo,11,1,caballo.jpg,1769742341727,0.200,1769742341727.2,0.200,6018.600,1769742341727.2,1769742347745.6,1500,33,33_caballo.wav,0.000,3287.971,3287.971,ok,-40.000,false,
16,lápiz,19,2,lapiz.jpg,1769742349276,0.200,1769742349276.2,0.200,6012.900,1769742349276.2,1769742355288.9,1500,33,33_lápiz.wav,0.000,1245.658,1245.658,ok,-40.000,false,
17,pato,6,1,pato.jpg,1769742356823,0.900,1769742356823.9,0.900,6018.200,1769742356823.9,1769742362841.2,1500,33,33_pato.wav,0.000,1348.469,1348.469,ok,-40.000,false,
18,basurero,23,2,basurero.jpg,1769742364369,0.500,1769742364369.5,0.500,6016.300,1769742364369.5,1769742370385.3,1500,33,33_basurero.wav,0.000,3009.671,3009.671,ok,-40.000,false,
19,grapadora,7,1,grapadora.jpg,1769742371916,0.200,1769742371916.2,0.200,6016.300,1769742371916.2,1769742377932.3,1500,33,33_grapadora.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
20,gato,21,2,gato.jpg,1769742379456,0.200,1769742379456.2,0.200,6020.100,1769742379456.2,1769742385476.1,1500,33,33_gato.wav,0.000,3404.478,3404.478,ok,-40.000,false,
21,cinta,8,1,cinta.jpg,1769742387015,0.300,1769742387015.3,0.300,6018.600,1769742387015.3,1769742393033.6,1500,33,33_cinta.wav,0.000,1348.946,1348.946,ok,-40.000,false,
22,conejo,20,2,conejo.jpg,1769742394558,0.200,1769742394558.2,0.200,6021.400,1769742394558.2,1769742400579.4,1500,33,33_conejo.wav,0.000,1860.329,1860.329,ok,-40.000,false,
23,tiza,10,1,tiza.jpg,1769742402099,0.300,1769742402099.3,0.300,6023.900,1769742402099.3,1769742408122.9,1500,33,33_tiza.wav,0.000,1144.297,1144.297,ok,-45.000,true,
24,pez,24,2,pez.jpg,1769742409655,0.300,1769742409655.3,0.300,6017.800,1769742409655.3,1769742415672.8,1500,33,33_pez.wav,0.000,2324.184,2324.184,ok,-40.000,false,
