trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,1,female,caballo,11,1,Target_Stimuli/female/caballo.mp3,1771309755718,0.100,879.975,879.875,0.000,6020.800,1771309755718,1771309761738.8,1500,69,69_trial1_female_caballo.wav,879.975,1772.667,892.692,ok,-40.000,false,
2,1,male,lápiz,19,2,Target_Stimuli/male/lapiz.mp3,1771309763254,0.200,898.200,898.000,0.100,6009.500,1771309763254.1,1771309769263.5,1500,69,69_trial2_male_lapiz.wav,898.100,1178.396,280.296,ok,-40.000,false,
3,1,male,fresas,9,1,Target_Stimuli/male/fresas.mp3,1771309770778,0.300,1002.300,1002.000,0.100,6021.900,1771309770778.1,1771309776799.9,1500,69,69_trial3_male_fresas.wav,1002.200,,,no_speech_detected,-16.937,true,No onset above threshold after playback end
4,1,male,loro,17,2,Target_Stimuli/male/loro.mp3,1771309778328,0.000,870.000,870.000,0.000,6022.500,1771309778328,1771309784350.5,1500,69,69_trial4_male_loro.wav,870.000,1835.500,965.500,ok,-40.000,false,
5,1,male,cinta,8,1,Target_Stimuli/male/cinta.mp3,1771309785872,0.300,810.300,810.000,0.000,6011.700,1771309785872,1771309791883.7,1500,69,69_trial5_male_cinta.wav,810.300,2905.229,2094.929,ok,-40.000,false,
6,1,female,basurero,23,2,Target_Stimuli/female/basurero.mp3,1771309793398,0.200,1192.075,1191.875,0.100,6018.800,1771309793398.1,1771309799416.8,1500,69,69_trial6_female_basurero.wav,1191.975,2093.979,902.004,ok,-40.000,false,
7,1,male,pato,6,1,Target_Stimuli/male/pato.mp3,1771309800943,0.300,744.300,744.000,0.000,6012.200,1771309800943,1771309806955.2,1500,69,69_trial7_male_pato.wav,744.300,2473.417,1729.117,ok,-40.000,false,
8,1,male,hongos,13,2,Target_Stimuli/male/hongos.mp3,1771309808482,0.300,958.300,958.000,0.100,6015.900,1771309808482.1,1771309814497.9,1500,69,69_trial8_male_hongos.wav,958.200,2391.229,1433.029,ok,-40.000,false,
9,1,female,tijeras,4,1,Target_Stimuli/female/tijeras.mp3,1771309816018,0.100,1007.975,1007.875,0.000,6018.300,1771309816018,1771309822036.3,1500,69,69_trial9_female_tijeras.wav,1007.975,3042.375,2034.400,ok,-40.000,false,
10,1,female,lechuga,18,2,Target_Stimuli/female/lechuga.mp3,1771309823557,0.100,1062.975,1062.875,0.100,6025.000,1771309823557.1,1771309829582,1500,69,69_trial10_female_lechuga.wav,1062.875,1889.271,826.396,ok,-40.000,false,
