trial,word,word_id,list,image_file,trial_start_epoch_ms,image_onset_ms,image_onset_epoch_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,image_onset_ms_rel,onset_ms_from_recording_start,latency_ms_from_image_onset,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,basurero,23,2,basurero.jpg,1771047291617,0.200,1771047291617.2,0.200,6017.600,1771047291617.2,1771047297634.6,1500,50,50_basurero.wav,0.000,838.292,838.292,ok,-40.000,false,
2,grapadora,7,1,grapadora.jpg,1771047299155,0.300,1771047299155.3,0.300,6021.200,1771047299155.3,1771047305176.2,1500,50,50_grapadora.wav,0.000,1615.104,1615.104,ok,-40.000,false,
3,cebolla,14,2,cebolla.jpg,1771047306700,0.700,1771047306700.7,0.700,6012.800,1771047306700.7,1771047312712.8,1500,50,50_cebolla.wav,0.000,1627.646,1627.646,ok,-40.000,false,
4,elote,12,1,elote.jpg,1771047314223,0.200,1771047314223.2,0.200,6024.300,1771047314223.2,1771047320247.3,1500,50,50_elote.wav,0.000,1283.583,1283.583,ok,-40.000,false,
5,conejo,20,2,conejo.jpg,1771047321773,0.300,1771047321773.3,0.300,6012.100,1771047321773.3,1771047327785.1,1500,50,50_conejo.wav,0.000,1947.917,1947.917,ok,-40.000,false,
6,fresas,9,1,fresas.jpg,1771047329303,0.300,1771047329303.3,0.300,6018.400,1771047329303.3,1771047335321.4,1500,50,50_fresas.wav,0.000,1154.229,1154.229,ok,-40.000,false,
7,ardilla,16,2,ardilla.jpg,1771047336845,0.200,1771047336845.2,0.200,6012.900,1771047336845.2,1771047342857.9,1500,50,50_ardilla.wav,0.000,1828.646,1828.646,ok,-40.000,false,
8,caballo,11,1,caballo.jpg,1771047344376,0.200,1771047344376.2,0.200,6019.500,1771047344376.2,1771047350395.5,1500,50,50_caballo.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
9,lechuga,18,2,lechuga.jpg,1771047351912,0.200,1771047351912.2,0.200,6018.700,1771047351912.2,1771047357930.7,1500,50,50_lechuga.wav,0.000,1603.438,1603.438,ok,-40.000,false,
10,oso,2,1,oso.jpg,1771047359457,0.300,1771047359457.3,0.300,6023.600,1771047359457.3,1771047365480.6,1500,50,50_oso.wav,0.000,1322.708,1322.708,ok,-40.000,false,
11,hongos,13,2,hongos.jpg,1771047366993,0.400,1771047366993.4,0.400,6020.000,1771047366993.4,1771047373013,1500,50,50_hongos.wav,0.000,1157.146,1157.146,ok,-40.000,false,
12,manzana,1,1,manzana.jpg,1771047374531,0.400,1771047374531.4,0.400,6019.500,1771047374531.4,1771047380550.5,1500,50,50_manzana.wav,0.000,1193.375,1193.375,ok,-40.000,false,
13,lápiz,19,2,lapiz.jpg,1771047382069,0.200,1771047382069.2,0.200,6012.600,1771047382069.2,1771047388081.6,1500,50,50_lápiz.wav,0.000,1264.250,1264.250,ok,-40.000,false,
14,reloj,3,1,reloj.jpg,1771047389598,0.200,1771047389598.2,0.200,6018.300,1771047389598.2,1771047395616.3,1500,50,50_reloj.wav,0.000,1146.500,1146.500,ok,-40.000,false,
15,cuaderno,15,2,cuaderno.jpg,1771047397130,0.300,1771047397130.3,0.300,6025.000,1771047397130.3,1771047403155,1500,50,50_cuaderno.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
16,cinta,8,1,cinta.jpg,1771047404668,0.300,1771047404668.3,0.300,6012.900,1771047404668.3,1771047410680.9,1500,50,50_cinta.wav,0.000,1328.563,1328.563,ok,-40.000,false,
17,loro,17,2,loro.jpg,1771047412202,0.300,1771047412202.3,0.300,6011.200,1771047412202.3,1771047418213.2,1500,50,50_loro.wav,0.000,1062.854,1062.854,ok,-40.000,false,
18,tiza,10,1,tiza.jpg,1771047419728,0.200,1771047419728.2,0.200,6020.100,1771047419728.2,1771047425748.1,1500,50,50_tiza.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
19,naranja,22,2,naranja.jpg,1771047427271,0.200,1771047427271.2,0.200,6019.200,1771047427271.2,1771047433290.2,1500,50,50_naranja.wav,0.000,3925.771,3925.771,ok,-40.000,false,
20,pato,6,1,pato.jpg,1771047434804,0.300,1771047434804.3,0.300,6020.100,1771047434804.3,1771047440824.1,1500,50,50_pato.wav,0.000,2916.000,2916.000,ok,-40.000,false,
21,pez,24,2,pez.jpg,1771047442336,0.200,1771047442336.2,0.200,6014.900,1771047442336.2,1771047448350.9,1500,50,50_pez.wav,0.000,1376.896,1376.896,ok,-40.000,false,
22,tijeras,4,1,tijeras.jpg,1771047449871,0.300,1771047449871.3,0.300,6024.400,1771047449871.3,1771047455895.4,1500,50,50_tijeras.wav,0.000,2550.688,2550.688,ok,-40.000,false,
23,gato,21,2,gato.jpg,1771047457417,0.000,1771047457417,0.000,6013.500,1771047457417,1771047463430.5,1500,50,50_gato.wav,0.000,1089.333,1089.333,ok,-40.000,false,
24,sandía,5,1,sandia.jpg,1771047464948,0.500,1771047464948.5,0.500,6015.100,1771047464948.5,1771047470963.1,1500,50,50_sandía.wav,0.000,2393.458,2393.458,ok,-40.000,false,
