trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,1,female,cebolla,14,2,Target_Stimuli/female/cebolla.mp3,1771212007327,0.100,880.975,880.875,0.100,6025.800,1771212007327.1,1771212013352.8,1500,58,58_trial1_female_cebolla.wav,880.875,,,no_speech_detected,-12.868,true,No onset above threshold after playback end
2,1,male,elote,12,1,Target_Stimuli/male/elote.mp3,1771212014876,0.100,923.100,923.000,0.100,6025.000,1771212014876.1,1771212020901,1500,58,58_trial2_male_elote.wav,923.000,2119.292,1196.292,ok,-40.000,false,
3,1,male,gato,21,2,Target_Stimuli/male/gato.mp3,1771212022423,0.000,856.000,856.000,0.000,6018.000,1771212022423,1771212028441,1500,58,58_trial3_male_gato.wav,856.000,1731.167,875.167,ok,-40.000,false,
4,1,female,reloj,3,1,Target_Stimuli/female/reloj.mp3,1771212029960,0.300,965.175,964.875,0.000,6017.200,1771212029960,1771212035977.2,1500,58,58_trial4_female_reloj.wav,965.175,3676.875,2711.700,ok,-40.000,false,
5,1,male,ardilla,16,2,Target_Stimuli/male/ardilla.mp3,1771212037502,0.000,1000.000,1000.000,0.000,6019.100,1771212037502,1771212043521.1,1500,58,58_trial5_male_ardilla.wav,1000.000,2655.833,1655.833,ok,-40.000,false,
6,1,male,oso,2,1,Target_Stimuli/male/oso.mp3,1771212045050,0.100,806.100,806.000,0.000,6013.200,1771212045050,1771212051063.2,1500,58,58_trial6_male_oso.wav,806.100,1945.479,1139.379,ok,-40.000,false,
7,1,male,cuaderno,15,2,Target_Stimuli/male/cuaderno.mp3,1771212052591,0.000,993.000,993.000,0.000,6014.700,1771212052591,1771212058605.7,1500,58,58_trial7_male_cuaderno.wav,993.000,4500.542,3507.542,ok,-40.000,false,
8,1,male,grapadora,7,1,Target_Stimuli/male/grapadora.mp3,1771212060134,0.100,1216.100,1216.000,0.000,6017.100,1771212060134,1771212066151.1,1500,58,58_trial8_male_grapadora.wav,1216.100,2702.146,1486.046,ok,-40.000,false,
9,1,female,hongos,13,2,Target_Stimuli/female/hongos.mp3,1771212067668,0.100,957.975,957.875,0.100,6021.000,1771212067668.1,1771212073689,1500,58,58_trial9_female_hongos.wav,957.875,2979.625,2021.750,ok,-40.000,false,
10,1,female,tijeras,4,1,Target_Stimuli/female/tijeras.mp3,1771212075217,0.100,1007.975,1007.875,0.100,6025.700,1771212075217.1,1771212081242.7,1500,58,58_trial10_female_tijeras.wav,1007.875,,,no_speech_detected,-14.720,true,No onset above threshold after playback end
11,1,female,lápiz,19,2,Target_Stimuli/female/lapiz.mp3,1771212082769,0.100,897.975,897.875,0.000,6018.400,1771212082769,1771212088787.4,1500,58,58_trial11_female_lapiz.wav,897.975,1979.104,1081.129,ok,-40.000,false,
12,1,female,manzana,1,1,Target_Stimuli/female/manzana.mp3,1771212090303,0.100,1163.975,1163.875,0.100,6017.000,1771212090303.1,1771212096320,1500,58,58_trial12_female_manzana.wav,1163.875,2208.979,1045.104,ok,-40.000,false,
13,1,male,conejo,20,2,Target_Stimuli/male/conejo.mp3,1771212097847,0.200,945.200,945.000,0.100,6012.500,1771212097847.1,1771212103859.5,1500,58,58_trial13_male_conejo.wav,945.100,3097.604,2152.504,ok,-40.000,false,
14,1,female,pato,6,1,Target_Stimuli/female/pato.mp3,1771212105385,0.200,744.075,743.875,0.200,6024.300,1771212105385.2,1771212111409.3,1500,58,58_trial14_female_pato.wav,743.875,2181.375,1437.500,ok,-40.000,false,
