trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,1,female,elote,12,1,Target_Stimuli/female/elote.mp3,1771298169163,0.500,923.375,922.875,0.500,6015.300,1771298169163.5,1771298175178.3,1500,67,67_trial1_female_elote.wav,922.875,2010.667,1087.792,ok,-40.000,false,
2,1,male,cebolla,14,2,Target_Stimuli/male/cebolla.mp3,1771298176702,0.100,881.100,881.000,0.100,6013.900,1771298176702.1,1771298182715.9,1500,67,67_trial2_male_cebolla.wav,881.000,,,no_speech_detected,-12.307,true,No onset above threshold after playback end
3,1,male,reloj,3,1,Target_Stimuli/male/reloj.mp3,1771298184231,0.100,965.100,965.000,0.000,6025.100,1771298184231,1771298190256.1,1500,67,67_trial3_male_reloj.wav,965.100,2786.167,1821.067,ok,-40.000,false,
4,1,female,gato,21,2,Target_Stimuli/female/gato.mp3,1771298191782,0.200,856.075,855.875,0.000,6021.100,1771298191782,1771298197803.1,1500,67,67_trial4_female_gato.wav,856.075,,,no_speech_detected,-16.724,true,No onset above threshold after playback end
5,1,male,oso,2,1,Target_Stimuli/male/oso.mp3,1771298199327,0.100,806.100,806.000,0.100,6020.900,1771298199327.1,1771298205347.9,1500,67,67_trial5_male_oso.wav,806.000,1904.917,1098.917,ok,-40.000,false,
6,1,female,cuaderno,15,2,Target_Stimuli/female/cuaderno.mp3,1771298206861,0.100,992.975,992.875,0.100,6018.300,1771298206861.1,1771298212879.3,1500,67,67_trial6_female_cuaderno.wav,992.875,,,no_speech_detected,-11.728,true,No onset above threshold after playback end
7,1,male,tiza,10,1,Target_Stimuli/male/tiza.mp3,1771298214398,0.000,797.000,797.000,0.000,6018.200,1771298214398,1771298220416.2,1500,67,67_trial7_male_tiza.wav,797.000,,,no_speech_detected,-13.652,true,No onset above threshold after playback end
8,1,male,conejo,20,2,Target_Stimuli/male/conejo.mp3,1771298221932,0.100,945.100,945.000,0.100,6023.900,1771298221932.1,1771298227955.9,1500,67,67_trial8_male_conejo.wav,945.000,2988.063,2043.063,ok,-40.000,false,
9,1,female,tijeras,4,1,Target_Stimuli/female/tijeras.mp3,1771298229483,0.300,1008.175,1007.875,0.000,6022.300,1771298229483,1771298235505.3,1500,67,67_trial9_female_tijeras.wav,1008.175,,,no_speech_detected,-15.093,true,No onset above threshold after playback end
10,1,male,hongos,13,2,Target_Stimuli/male/hongos.mp3,1771298237031,0.100,958.100,958.000,0.000,6025.800,1771298237031,1771298243056.8,1500,67,67_trial10_male_hongos.wav,958.100,3418.875,2460.775,ok,-40.000,false,
11,1,female,fresas,9,1,Target_Stimuli/female/fresas.mp3,1771298244578,0.200,1002.075,1001.875,0.100,6022.200,1771298244578.1,1771298250600.2,1500,67,67_trial11_female_fresas.wav,1001.975,2554.125,1552.150,ok,-40.000,false,
