trial,word,word_id,list,image_file,trial_start_epoch_ms,image_onset_ms,image_onset_epoch_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,image_onset_ms_rel,onset_ms_from_recording_start,latency_ms_from_image_onset,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,conejo,20,2,conejo.jpg,1771306771874,0.400,1771306771874.4,0.400,6016.700,1771306771874.4,1771306777890.7,1500,68,68_conejo.wav,0.000,2868.396,2868.396,ok,-40.000,false,
2,fresas,9,1,fresas.jpg,1771306779404,0.300,1771306779404.3,0.300,6021.400,1771306779404.3,1771306785425.4,1500,68,68_fresas.wav,0.000,1685.125,1685.125,ok,-40.000,false,
3,cebolla,14,2,cebolla.jpg,1771306786945,0.300,1771306786945.3,0.300,6015.400,1771306786945.3,1771306792960.4,1500,68,68_cebolla.wav,0.000,60.354,60.354,ok,-40.000,false,
4,manzana,1,1,manzana.jpg,1771306794484,0.200,1771306794484.2,0.200,6026.100,1771306794484.2,1771306800510.1,1500,68,68_manzana.wav,0.000,1191.938,1191.938,ok,-40.000,false,
5,lápiz,19,2,lapiz.jpg,1771306802024,0.200,1771306802024.2,0.200,6021.400,1771306802024.2,1771306808045.4,1500,68,68_lápiz.wav,0.000,1779.021,1779.021,ok,-40.000,false,
6,reloj,3,1,reloj.jpg,1771306809565,0.300,1771306809565.3,0.300,6016.900,1771306809565.3,1771306815581.9,1500,68,68_reloj.wav,0.000,2613.750,2613.750,ok,-40.000,false,
7,cuaderno,15,2,cuaderno.jpg,1771306817102,0.100,1771306817102.1,0.100,6014.300,1771306817102.1,1771306823116.3,1500,68,68_cuaderno.wav,0.000,2935.167,2935.167,ok,-45.000,true,
8,pato,6,1,pato.jpg,1771306824641,0.400,1771306824641.4,0.400,6011.600,1771306824641.4,1771306830652.6,1500,68,68_pato.wav,0.000,1332.583,1332.583,ok,-40.000,false,
9,basurero,23,2,basurero.jpg,1771306832166,0.300,1771306832166.3,0.300,6024.100,1771306832166.3,1771306838190.1,1500,68,68_basurero.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
10,grapadora,7,1,grapadora.jpg,1771306839713,0.300,1771306839713.3,0.300,6024.600,1771306839713.3,1771306845737.6,1500,68,68_grapadora.wav,0.000,1496.583,1496.583,ok,-40.000,false,
11,pez,24,2,pez.jpg,1771306847261,0.300,1771306847261.3,0.300,6018.800,1771306847261.3,1771306853279.8,1500,68,68_pez.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
12,sandía,5,1,sandia.jpg,1771306854804,0.300,1771306854804.3,0.300,6022.300,1771306854804.3,1771306860826.3,1500,68,68_sandía.wav,0.000,1867.417,1867.417,ok,-40.000,false,
13,hongos,13,2,hongos.jpg,1771306862339,0.300,1771306862339.3,0.300,6020.600,1771306862339.3,1771306868359.6,1500,68,68_hongos.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
14,tiza,10,1,tiza.jpg,1771306869880,0.200,1771306869880.2,0.200,6023.700,1771306869880.2,1771306875903.7,1500,68,68_tiza.wav,0.000,5260.167,5260.167,ok,-40.000,false,
15,ardilla,16,2,ardilla.jpg,1771306877423,0.200,1771306877423.2,0.200,6016.300,1771306877423.2,1771306883439.3,1500,68,68_ardilla.wav,0.000,1901.604,1901.604,ok,-40.000,false,
16,tijeras,4,1,tijeras.jpg,1771306884950,0.200,1771306884950.2,0.200,6023.200,1771306884950.2,1771306890973.2,1500,68,68_tijeras.wav,0.000,1824.333,1824.333,ok,-40.000,false,
17,loro,17,2,loro.jpg,1771306892491,0.100,1771306892491.1,0.100,6022.000,1771306892491.1,1771306898513,1500,68,68_loro.wav,0.000,1712.500,1712.500,ok,-40.000,false,
18,oso,2,1,oso.jpg,1771306900038,0.300,1771306900038.3,0.300,6015.300,1771306900038.3,1771306906053.3,1500,68,68_oso.wav,0.000,1201.646,1201.646,ok,-40.000,false,
19,naranja,22,2,naranja.jpg,1771306907581,0.300,1771306907581.3,0.300,6012.300,1771306907581.3,1771306913593.3,1500,68,68_naranja.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
20,caballo,11,1,caballo.jpg,1771306915120,0.300,1771306915120.3,0.300,6017.500,1771306915120.3,1771306921137.5,1500,68,68_caballo.wav,0.000,471.563,471.563,ok,-45.000,true,
21,lechuga,18,2,lechuga.jpg,1771306922655,0.100,1771306922655.1,0.100,6015.700,1771306922655.1,1771306928670.7,1500,68,68_lechuga.wav,0.000,1247.250,1247.250,ok,-40.000,false,
22,elote,12,1,elote.jpg,1771306930181,0.400,1771306930181.4,0.400,6018.700,1771306930181.4,1771306936199.7,1500,68,68_elote.wav,0.000,2935.979,2935.979,ok,-40.000,false,
23,gato,21,2,gato.jpg,1771306937712,0.300,1771306937712.3,0.300,6010.000,1771306937712.3,1771306943722,1500,68,68_gato.wav,0.000,2440.729,2440.729,ok,-40.000,false,
24,cinta,8,1,cinta.jpg,1771306945239,0.200,1771306945239.2,0.200,6016.700,1771306945239.2,1771306951255.7,1500,68,68_cinta.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
