trial,word,word_id,list,image_file,trial_start_epoch_ms,image_onset_ms,image_onset_epoch_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,image_onset_ms_rel,onset_ms_from_recording_start,latency_ms_from_image_onset,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,lápiz,19,2,lapiz.jpg,1771232831112,0.200,1771232831112.2,0.200,6018.300,1771232831112.2,1771232837130.3,1500,64,64_lápiz.wav,0.000,1882.542,1882.542,ok,-40.000,false,
2,grapadora,7,1,grapadora.jpg,1771232838645,0.200,1771232838645.2,0.300,6019.500,1771232838645.3,1771232844664.5,1500,64,64_grapadora.wav,0.000,2438.563,2438.563,ok,-40.000,false,
3,pez,24,2,pez.jpg,1771232846177,0.200,1771232846177.2,0.200,6014.000,1771232846177.2,1771232852191,1500,64,64_pez.wav,0.000,1542.604,1542.604,ok,-40.000,false,
4,oso,2,1,oso.jpg,1771232853716,0.300,1771232853716.3,0.300,6014.200,1771232853716.3,1771232859730.2,1500,64,64_oso.wav,0.000,1173.104,1173.104,ok,-40.000,false,
5,hongos,13,2,hongos.jpg,1771232861249,0.300,1771232861249.3,0.300,6023.500,1771232861249.3,1771232867272.5,1500,64,64_hongos.wav,0.000,1445.354,1445.354,ok,-40.000,false,
6,fresas,9,1,fresas.jpg,1771232868794,0.300,1771232868794.3,0.300,6019.100,1771232868794.3,1771232874813.1,1500,64,64_fresas.wav,0.000,2284.604,2284.604,ok,-40.000,false,
7,cebolla,14,2,cebolla.jpg,1771232876329,0.200,1771232876329.2,0.200,6023.100,1771232876329.2,1771232882352.1,1500,64,64_cebolla.wav,0.000,1770.188,1770.188,ok,-40.000,false,
8,caballo,11,1,caballo.jpg,1771232883878,0.300,1771232883878.3,0.300,6014.200,1771232883878.3,1771232889892.2,1500,64,64_caballo.wav,0.000,1638.854,1638.854,ok,-40.000,false,
9,conejo,20,2,conejo.jpg,1771232891418,0.100,1771232891418.1,0.100,6020.900,1771232891418.1,1771232897438.9,1500,64,64_conejo.wav,0.000,2207.667,2207.667,ok,-40.000,false,
10,reloj,3,1,reloj.jpg,1771232898964,0.200,1771232898964.2,0.200,6013.900,1771232898964.2,1771232904977.9,1500,64,64_reloj.wav,0.000,1968.833,1968.833,ok,-40.000,false,
11,lechuga,18,2,lechuga.jpg,1771232906498,0.300,1771232906498.3,0.300,6016.100,1771232906498.3,1771232912514.1,1500,64,64_lechuga.wav,0.000,2756.146,2756.146,ok,-40.000,false,
12,sandía,5,1,sandia.jpg,1771232914029,0.300,1771232914029.3,0.300,6010.200,1771232914029.3,1771232920039.2,1500,64,64_sandía.wav,0.000,1360.208,1360.208,ok,-40.000,false,
13,gato,21,2,gato.jpg,1771232921562,0.100,1771232921562.1,0.100,6017.600,1771232921562.1,1771232927579.6,1500,64,64_gato.wav,0.000,2463.479,2463.479,ok,-40.000,false,
14,tijeras,4,1,tijeras.jpg,1771232929099,0.300,1771232929099.3,0.300,6023.700,1771232929099.3,1771232935122.7,1500,64,64_tijeras.wav,0.000,2649.083,2649.083,ok,-40.000,false,
15,naranja,22,2,naranja.jpg,1771232936648,0.200,1771232936648.2,0.200,6022.500,1771232936648.2,1771232942670.5,1500,64,64_naranja.wav,0.000,2085.271,2085.271,ok,-40.000,false,
16,elote,12,1,elote.jpg,1771232944191,0.200,1771232944191.2,0.200,6012.900,1771232944191.2,1771232950203.9,1500,64,64_elote.wav,0.000,1804.125,1804.125,ok,-40.000,false,
17,loro,17,2,loro.jpg,1771232951730,0.200,1771232951730.2,0.200,6012.900,1771232951730.2,1771232957742.9,1500,64,64_loro.wav,0.000,1744.042,1744.042,ok,-40.000,false,
18,manzana,1,1,manzana.jpg,1771232959259,0.300,1771232959259.3,0.300,6021.000,1771232959259.3,1771232965280,1500,64,64_manzana.wav,0.000,1760.375,1760.375,ok,-40.000,false,
19,cuaderno,15,2,cuaderno.jpg,1771232966798,0.100,1771232966798.1,0.100,6021.200,1771232966798.1,1771232972819.2,1500,64,64_cuaderno.wav,0.000,1352.083,1352.083,ok,-40.000,false,
20,cinta,8,1,cinta.jpg,1771232974334,0.200,1771232974334.2,0.200,6019.800,1771232974334.2,1771232980353.8,1500,64,64_cinta.wav,0.000,3224.417,3224.417,ok,-40.000,false,
21,ardilla,16,2,ardilla.jpg,1771232981875,0.100,1771232981875.1,0.100,6014.300,1771232981875.1,1771232987889.3,1500,64,64_ardilla.wav,0.000,1575.458,1575.458,ok,-40.000,false,
22,pato,6,1,pato.jpg,1771232989415,0.300,1771232989415.3,0.300,6022.400,1771232989415.3,1771232995437.4,1500,64,64_pato.wav,0.000,1065.396,1065.396,ok,-40.000,false,
23,basurero,23,2,basurero.jpg,1771232996962,0.300,1771232996962.3,0.300,6014.800,1771232996962.3,1771233002976.8,1500,64,64_basurero.wav,0.000,3278.396,3278.396,ok,-40.000,false,
24,tiza,10,1,tiza.jpg,1771233004492,0.100,1771233004492.1,0.100,6014.600,1771233004492.1,1771233010506.6,1500,64,64_tiza.wav,0.000,2048.063,2048.063,ok,-40.000,false,
