trial,word,word_id,list,image_file,trial_start_epoch_ms,image_onset_ms,image_onset_epoch_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,image_onset_ms_rel,onset_ms_from_recording_start,latency_ms_from_image_onset,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
19,ardilla,16,2,ardilla.jpg,1.76948E+12,0.3,1.76948E+12,0.3,6039.8,1.76948E+12,1.76948E+12,1500,12,12_ardilla.wav,0,,,no_speech_detected,-45,TRUE,No onset above threshold after image onset
23,basurero,23,2,basurero.jpg,1.76948E+12,0.3,1.76948E+12,0.3,6034.1,1.76948E+12,1.76948E+12,1500,12,12_basurero.wav,0,3440.104,3440.104,ok,-40,FALSE,
6,caballo,11,1,caballo.jpg,1.76948E+12,0.5,1.76948E+12,0.5,6039.7,1.76948E+12,1.76948E+12,1500,12,12_caballo.wav,0,2320.5,2320.5,ok,-40,FALSE,
3,cebolla,14,2,cebolla.jpg,1.76948E+12,0.5,1.76948E+12,0.5,6033.4,1.76948E+12,1.76948E+12,1500,12,12_cebolla.wav,0,,,no_speech_detected,-45,TRUE,No onset above threshold after image onset
22,cinta,8,1,cinta.jpg,1.76948E+12,0.4,1.76948E+12,0.4,6028.3,1.76948E+12,1.76948E+12,1500,12,12_cinta.wav,0,4452.729,4452.729,ok,-40,FALSE,
17,conejo,20,2,conejo.jpg,1.76948E+12,0.4,1.76948E+12,0.4,6038.8,1.76948E+12,1.76948E+12,1500,12,12_conejo.wav,0,,,no_speech_detected,-45,TRUE,No onset above threshold after image onset
13,cuaderno,15,2,cuaderno.jpg,1.76948E+12,0.3,1.76948E+12,0.3,6040.2,1.76948E+12,1.76948E+12,1500,12,12_cuaderno.wav,0,,,no_speech_detected,-45,TRUE,No onset above threshold after image onset
10,elote,12,1,elote.jpg,1.76948E+12,0.4,1.76948E+12,0.4,6032.1,1.76948E+12,1.76948E+12,1500,12,12_elote.wav,0,,,no_speech_detected,-45,TRUE,No onset above threshold after image onset
4,fresas,9,1,fresas.jpg,1.76948E+12,0.4,1.76948E+12,0.4,6034.3,1.76948E+12,1.76948E+12,1500,12,12_fresas.wav,0,,,no_speech_detected,-45,TRUE,No onset above threshold after image onset
11,gato,21,2,gato.jpg,1.76948E+12,0.4,1.76948E+12,0.4,6035.1,1.76948E+12,1.76948E+12,1500,12,12_gato.wav,0,3604.583,3604.583,ok,-40,FALSE,
16,grapadora,7,1,grapadora.jpg,1.76948E+12,0.4,1.76948E+12,0.4,6047.5,1.76948E+12,1.76948E+12,1500,12,12_grapadora.wav,0,,,no_speech_detected,-45,TRUE,No onset above threshold after image onset
21,hongos,13,2,hongos.jpg,1.76948E+12,0.4,1.76948E+12,0.4,6027.3,1.76948E+12,1.76948E+12,1500,12,12_hongos.wav,0,2623.583,2623.583,ok,-40,FALSE,
5,lápiz,19,2,lapiz.jpg,1.76948E+12,0.5,1.76948E+12,0.5,6053.3,1.76948E+12,1.76948E+12,1500,12,12_lápiz.wav,0,683.521,683.521,ok,-40,FALSE,
7,lechuga,18,2,lechuga.jpg,1.76948E+12,0.4,1.76948E+12,0.4,6038.6,1.76948E+12,1.76948E+12,1500,12,12_lechuga.wav,0,3946.667,3946.667,ok,-40,FALSE,
1,loro,17,2,loro.jpg,1.76948E+12,0.2,1.76948E+12,0.2,6046.9,1.76948E+12,1.76948E+12,1500,12,12_loro.wav,0,1882.417,1882.417,ok,-40,FALSE,
14,manzana,1,1,manzana.jpg,1.76948E+12,0.3,1.76948E+12,0.3,6036.2,1.76948E+12,1.76948E+12,1500,12,12_manzana.wav,0,,,no_speech_detected,-45,TRUE,No onset above threshold after image onset
15,naranja,22,2,naranja.jpg,1.76948E+12,0.4,1.76948E+12,0.4,6027.3,1.76948E+12,1.76948E+12,1500,12,12_naranja.wav,0,,,no_speech_detected,-45,TRUE,No onset above threshold after image onset
8,oso,2,1,oso.jpg,1.76948E+12,0.6,1.76948E+12,0.6,6053.1,1.76948E+12,1.76948E+12,1500,12,12_oso.wav,0,,,no_speech_detected,-45,TRUE,No onset above threshold after image onset
12,pato,6,1,pato.jpg,1.76948E+12,0.3,1.76948E+12,0.3,6029.4,1.76948E+12,1.76948E+12,1500,12,12_pato.wav,0,4378.875,4378.875,ok,-40,FALSE,
9,pez,24,2,pez.jpg,1.76948E+12,0.4,1.76948E+12,0.4,6049.6,1.76948E+12,1.76948E+12,1500,12,12_pez.wav,0,2414.813,2414.813,ok,-40,FALSE,
24,reloj,3,1,reloj.jpg,1.76948E+12,0.2,1.76948E+12,0.2,6060.1,1.76948E+12,1.76948E+12,1500,12,12_reloj.wav,0,,,no_speech_detected,-45,TRUE,No onset above threshold after image onset
20,sandía,5,1,sandia.jpg,1.76948E+12,0.3,1.76948E+12,0.3,6036.4,1.76948E+12,1.76948E+12,1500,12,12_sandía.wav,0,2181.833,2181.833,ok,-45,TRUE,
18,tijeras,4,1,tijeras.jpg,1.76948E+12,0.3,1.76948E+12,0.3,6051.2,1.76948E+12,1.76948E+12,1500,12,12_tijeras.wav,0,,,no_speech_detected,-45,TRUE,No onset above threshold after image onset
2,tiza,10,1,tiza.jpg,1.76948E+12,0.1,1.76948E+12,0.1,6037,1.76948E+12,1.76948E+12,1500,12,12_tiza.wav,0,,,no_speech_detected,-45,TRUE,No onset above threshold after image onset
