trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,1,male,loro,17,2,Target_Stimuli/male/loro.mp3,1771307059288,0.000,870.000,870.000,0.000,6025.600,1771307059288,1771307065313.6,1500,68,68_trial1_male_loro.wav,870.000,1227.917,357.917,ok,-40.000,false,
2,1,female,manzana,1,1,Target_Stimuli/female/manzana.mp3,1771307066829,0.000,1163.875,1163.875,0.000,6017.300,1771307066829,1771307072846.3,1500,68,68_trial2_female_manzana.wav,1163.875,1790.146,626.271,ok,-40.000,false,
3,1,female,ardilla,16,2,Target_Stimuli/female/ardilla.mp3,1771307074367,0.100,999.975,999.875,0.000,6013.800,1771307074367,1771307080380.8,1500,68,68_trial3_female_ardilla.wav,999.975,2661.021,1661.046,ok,-40.000,false,
4,1,male,fresas,9,1,Target_Stimuli/male/fresas.mp3,1771307081903,0.100,1002.100,1002.000,0.100,6027.200,1771307081903.1,1771307087930.2,1500,68,68_trial4_male_fresas.wav,1002.000,2818.521,1816.521,ok,-40.000,false,
5,1,female,cebolla,14,2,Target_Stimuli/female/cebolla.mp3,1771307089456,0.100,880.975,880.875,0.100,6012.800,1771307089456.1,1771307095468.8,1500,68,68_trial5_female_cebolla.wav,880.875,2007.250,1126.375,ok,-40.000,false,
6,1,female,reloj,3,1,Target_Stimuli/female/reloj.mp3,1771307096988,0.100,964.975,964.875,0.100,6026.900,1771307096988.1,1771307103014.9,1500,68,68_trial6_female_reloj.wav,964.875,1540.438,575.563,ok,-40.000,false,
7,1,female,naranja,22,2,Target_Stimuli/female/naranja.mp3,1771307104534,0.200,1121.075,1120.875,0.000,6025.400,1771307104534,1771307110559.4,1500,68,68_trial7_female_naranja.wav,1121.075,1540.292,419.217,ok,-40.000,false,
8,1,female,oso,2,1,Target_Stimuli/female/oso.mp3,1771307112091,0.100,805.975,805.875,0.100,6011.600,1771307112091.1,1771307118102.6,1500,68,68_trial8_female_oso.wav,805.875,1382.000,576.125,ok,-40.000,false,
9,1,male,hongos,13,2,Target_Stimuli/male/hongos.mp3,1771307119626,0.000,958.000,958.000,0.000,6015.900,1771307119626,1771307125641.9,1500,68,68_trial9_male_hongos.wav,958.000,2999.771,2041.771,ok,-40.000,false,
10,1,male,elote,12,1,Target_Stimuli/male/elote.mp3,1771307127162,0.300,923.300,923.000,0.100,6009.600,1771307127162.1,1771307133171.6,1500,68,68_trial10_male_elote.wav,923.200,1040.167,116.967,ok,-40.000,false,
11,1,female,cuaderno,15,2,Target_Stimuli/female/cuaderno.mp3,1771307134695,0.100,992.975,992.875,0.100,6016.400,1771307134695.1,1771307140711.4,1500,68,68_trial11_female_cuaderno.wav,992.875,,,no_speech_detected,-12.093,true,No onset above threshold after playback end
12,1,female,caballo,11,1,Target_Stimuli/female/caballo.mp3,1771307142224,0.200,880.075,879.875,0.100,6028.700,1771307142224.1,1771307148252.7,1500,68,68_trial12_female_caballo.wav,879.975,3292.979,2413.004,ok,-40.000,false,
13,1,male,gato,21,2,Target_Stimuli/male/gato.mp3,1771307149767,0.200,856.200,856.000,0.000,6033.900,1771307149767,1771307155800.9,1500,68,68_trial13_male_gato.wav,856.200,5124.458,4268.258,ok,-40.000,false,
14,1,male,tijeras,4,1,Target_Stimuli/male/tijeras.mp3,1771307157320,0.100,1008.100,1008.000,0.000,6021.400,1771307157320,1771307163341.4,1500,68,68_trial14_male_tijeras.wav,1008.100,2064.813,1056.712,ok,-40.000,false,
15,1,female,lechuga,18,2,Target_Stimuli/female/lechuga.mp3,1771307164859,0.200,1063.075,1062.875,0.100,6029.300,1771307164859.1,1771307170888.3,1500,68,68_trial15_female_lechuga.wav,1062.975,1667.583,604.608,ok,-40.000,false,
