trial,word,word_id,list,image_file,trial_start_epoch_ms,image_onset_ms,image_onset_epoch_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,image_onset_ms_rel,onset_ms_from_recording_start,latency_ms_from_image_onset,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,ardilla,16,2,ardilla.jpg,1771053539242,0.100,1771053539242.1,0.100,6012.400,1771053539242.1,1771053545254.4,1500,52,52_ardilla.wav,0.000,96.813,96.813,ok,-40.000,false,
2,fresas,9,1,fresas.jpg,1771053546776,0.200,1771053546776.2,0.200,6017.400,1771053546776.2,1771053552793.4,1500,52,52_fresas.wav,0.000,1987.438,1987.438,ok,-40.000,false,
3,cuaderno,15,2,cuaderno.jpg,1771053554307,0.300,1771053554307.3,0.300,6027.700,1771053554307.3,1771053560334.7,1500,52,52_cuaderno.wav,0.000,2759.833,2759.833,ok,-40.000,false,
4,elote,12,1,elote.jpg,1771053561848,0.400,1771053561848.4,0.400,6026.100,1771053561848.4,1771053567874.1,1500,52,52_elote.wav,0.000,2162.750,2162.750,ok,-40.000,false,
5,loro,17,2,loro.jpg,1771053569405,0.400,1771053569405.4,0.500,6016.500,1771053569405.5,1771053575421.5,1500,52,52_loro.wav,0.000,2045.604,2045.604,ok,-40.000,false,
6,cinta,8,1,cinta.jpg,1771053576937,0.300,1771053576937.3,0.300,6015.000,1771053576937.3,1771053582952,1500,52,52_cinta.wav,0.000,1653.500,1653.500,ok,-40.000,false,
7,pez,24,2,pez.jpg,1771053584464,0.300,1771053584464.3,0.300,6025.300,1771053584464.3,1771053590489.3,1500,52,52_pez.wav,0.000,1527.542,1527.542,ok,-40.000,false,
8,grapadora,7,1,grapadora.jpg,1771053592008,0.300,1771053592008.3,0.300,6021.600,1771053592008.3,1771053598029.6,1500,52,52_grapadora.wav,0.000,3048.667,3048.667,ok,-40.000,false,
9,conejo,20,2,conejo.jpg,1771053599557,0.100,1771053599557.1,0.100,6021.600,1771053599557.1,1771053605578.6,1500,52,52_conejo.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
10,manzana,1,1,manzana.jpg,1771053607106,0.300,1771053607106.3,0.300,6013.400,1771053607106.3,1771053613119.4,1500,52,52_manzana.wav,0.000,2529.729,2529.729,ok,-40.000,false,
11,hongos,13,2,hongos.jpg,1771053614646,0.300,1771053614646.3,0.300,6017.400,1771053614646.3,1771053620663.4,1500,52,52_hongos.wav,0.000,3057.042,3057.042,ok,-40.000,false,
12,oso,2,1,oso.jpg,1771053622181,0.400,1771053622181.4,0.400,6022.300,1771053622181.4,1771053628203.3,1500,52,52_oso.wav,0.000,1021.104,1021.104,ok,-40.000,false,
13,cebolla,14,2,cebolla.jpg,1771053629719,0.200,1771053629719.2,0.300,6013.000,1771053629719.3,1771053635732,1500,52,52_cebolla.wav,0.000,2231.896,2231.896,ok,-40.000,false,
14,caballo,11,1,caballo.jpg,1771053637258,0.400,1771053637258.4,0.400,6019.700,1771053637258.4,1771053643277.7,1500,52,52_caballo.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
15,lechuga,18,2,lechuga.jpg,1771053644801,0.300,1771053644801.3,0.300,6020.700,1771053644801.3,1771053650821.7,1500,52,52_lechuga.wav,0.000,1794.792,1794.792,ok,-40.000,false,
16,pato,6,1,pato.jpg,1771053652346,0.300,1771053652346.3,0.300,6026.200,1771053652346.3,1771053658372.2,1500,52,52_pato.wav,0.000,1788.896,1788.896,ok,-40.000,false,
17,lápiz,19,2,lapiz.jpg,1771053659893,0.100,1771053659893.1,0.200,6024.300,1771053659893.2,1771053665917.3,1500,52,52_lápiz.wav,0.000,1472.583,1472.583,ok,-40.000,false,
18,sandía,5,1,sandia.jpg,1771053667426,0.200,1771053667426.2,0.200,6015.700,1771053667426.2,1771053673441.7,1500,52,52_sandía.wav,0.000,2617.521,2617.521,ok,-40.000,false,
19,basurero,23,2,basurero.jpg,1771053674957,0.200,1771053674957.2,0.200,6025.500,1771053674957.2,1771053680982.5,1500,52,52_basurero.wav,0.000,3508.750,3508.750,ok,-40.000,false,
20,tiza,10,1,tiza.jpg,1771053682505,0.300,1771053682505.3,0.300,6028.600,1771053682505.3,1771053688533.6,1500,52,52_tiza.wav,0.000,3006.479,3006.479,ok,-40.000,false,
21,naranja,22,2,naranja.jpg,1771053690060,0.400,1771053690060.4,0.400,6016.500,1771053690060.4,1771053696076.5,1500,52,52_naranja.wav,0.000,2222.313,2222.313,ok,-40.000,false,
22,tijeras,4,1,tijeras.jpg,1771053697596,0.300,1771053697596.3,0.300,6025.200,1771053697596.3,1771053703621.2,1500,52,52_tijeras.wav,0.000,930.146,930.146,ok,-45.000,true,
23,gato,21,2,gato.jpg,1771053705143,0.300,1771053705143.3,0.300,6023.700,1771053705143.3,1771053711166.7,1500,52,52_gato.wav,0.000,2050.417,2050.417,ok,-40.000,false,
24,reloj,3,1,reloj.jpg,1771053712682,0.200,1771053712682.2,0.200,6013.500,1771053712682.2,1771053718695.5,1500,52,52_reloj.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
